,1% Greedy,5% Greedy,BBB,Greedy
0,0,0,0,0
1,5,0,0,5
2,5,-5,35,0
3,5,-10,30,-5
4,10,-10,35,0
5,15,-5,40,0
6,15,-5,40,-5
7,15,-5,40,-10
8,20,0,45,-10
9,20,0,45,25
10,25,5,50,30
11,30,10,55,35
12,35,15,60,40
13,35,15,60,40
14,35,15,60,40
15,35,15,60,40
16,40,20,65,45
17,40,20,65,45
18,45,25,70,50
19,45,25,70,50
20,45,25,70,50
21,50,30,75,55
22,50,30,75,55
23,55,35,80,60
24,60,40,85,65
25,65,45,90,70
26,70,50,95,75
27,70,50,95,75
28,75,55,100,80
29,80,60,105,85
30,80,60,105,85
31,85,65,110,90
32,85,65,110,90
33,90,70,115,95
34,90,70,115,95
35,90,70,115,95
36,90,70,115,95
37,90,70,115,95
38,90,70,115,95
39,95,75,120,100
40,100,80,125,105
41,105,85,130,110
42,110,90,135,115
43,110,90,135,115
44,115,95,140,120
45,120,100,145,125
46,125,105,150,130
47,130,110,155,135
48,135,115,160,140
49,135,115,160,140
50,135,115,160,140
51,140,120,165,145
52,140,120,165,145
53,145,125,170,150
54,145,125,170,150
55,145,125,170,150
56,145,125,170,150
57,150,130,175,155
58,150,130,175,155
59,150,130,175,155
60,150,130,175,155
61,150,130,175,155
62,155,135,180,160
63,160,140,185,165
64,165,145,190,170
65,170,150,195,175
66,175,155,200,180
67,180,160,205,185
68,185,165,210,190
69,190,170,215,195
70,190,170,215,195
71,190,165,215,195
72,190,165,215,195
73,190,165,215,195
74,195,170,220,200
75,195,170,220,200
76,200,175,225,205
77,205,180,230,210
78,205,180,230,210
79,210,185,235,215
80,215,190,240,220
81,215,190,240,220
82,215,190,240,220
83,220,195,245,225
84,220,195,245,225
85,220,195,245,225
86,220,195,245,225
87,225,200,250,230
88,225,200,250,230
89,230,205,255,235
90,235,210,260,240
91,235,210,260,240
92,235,210,260,240
93,240,215,265,245
94,245,220,270,250
95,245,220,270,250
96,250,225,275,255
97,255,230,280,260
98,260,235,285,265
99,265,240,290,270
100,265,240,290,270
101,270,245,295,275
102,270,245,295,275
103,270,245,295,275
104,275,250,300,280
105,275,245,300,280
106,275,245,300,280
107,275,245,300,280
108,280,250,305,285
109,285,255,310,290
110,285,255,310,290
111,285,255,310,290
112,290,260,315,295
113,290,260,315,295
114,290,260,315,295
115,290,260,315,295
116,290,260,315,295
117,295,265,320,300
118,300,270,325,305
119,305,275,330,310
120,305,275,330,310
121,305,275,330,310
122,310,280,335,315
123,315,285,340,320
124,315,285,340,320
125,315,285,340,320
126,320,290,345,325
127,325,295,350,330
128,325,295,350,330
129,330,300,355,335
130,335,305,360,340
131,335,305,360,340
132,340,310,365,345
133,340,310,365,345
134,345,315,370,350
135,350,320,375,355
136,355,325,380,360
137,360,330,385,365
138,360,330,385,365
139,360,330,385,365
140,365,335,390,370
141,370,340,395,375
142,375,340,400,380
143,375,340,400,380
144,380,345,405,385
145,385,350,410,390
146,390,355,415,395
147,390,355,415,395
148,395,360,420,400
149,400,365,425,405
150,405,370,430,410
151,410,375,435,415
152,415,380,440,420
153,420,385,445,425
154,420,385,445,425
155,420,385,445,425
156,420,385,445,425
157,420,385,445,425
158,420,385,445,425
159,425,390,450,430
160,425,390,450,430
161,430,395,455,435
162,430,395,455,435
163,435,400,460,440
164,440,405,465,445
165,445,410,470,450
166,445,410,470,450
167,445,410,470,450
168,450,415,475,455
169,450,415,475,455
