,BBB 0.001,BBB 0.0001,BBB 0.00001,BBB 0.00005,Greedy 0.001,Greedy 0.0001,Greedy 0.00001,Greedy 0.00005,1% Greedy 0.001,1% Greedy 0.0001,1% Greedy 0.00001,1% Greedy 0.00005,5% Greedy 0.001,5% Greedy 0.0001,5% Greedy 0.00001,5% Greedy 0.00005
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,35,35,0,35,0,0,-5,-5,-5,35,0,35,35,0,0,-5
2,35,70,35,35,0,0,-10,-10,-10,35,-5,35,35,0,0,-10
3,40,75,35,35,0,5,-10,-10,-10,40,-5,40,40,5,0,-5
4,40,75,30,35,0,5,25,25,25,40,30,40,40,5,0,-5
5,45,80,30,40,0,10,25,25,30,45,35,45,45,10,5,-5
6,50,85,35,45,0,15,25,25,35,50,35,50,50,15,10,-5
7,55,90,40,50,0,20,25,25,40,55,35,55,55,20,10,0
8,60,95,40,55,0,25,25,25,45,60,35,60,60,25,10,5
9,65,100,45,60,0,30,25,30,50,65,35,65,65,30,15,5
10,70,105,50,65,0,35,25,30,55,70,35,70,70,35,15,10
11,70,105,45,65,-5,35,20,65,55,70,30,70,70,35,15,10
12,75,110,50,70,-5,40,20,65,60,75,30,75,75,40,15,15
13,75,110,50,70,-10,40,55,100,60,75,65,75,75,40,15,15
14,75,110,85,70,-15,40,90,135,60,75,60,75,75,40,15,10
15,80,115,85,75,-15,45,90,140,60,80,60,80,80,45,20,15
16,85,120,85,80,-15,50,90,145,60,85,60,85,85,50,25,20
17,90,125,90,85,-15,55,90,150,65,90,60,90,90,55,25,25
18,95,130,95,90,-15,60,95,155,65,95,60,95,95,60,30,25
19,100,135,95,95,-15,65,95,160,65,100,60,100,100,60,35,30
20,105,140,100,100,-15,70,95,165,65,105,60,105,105,65,40,35
21,110,145,105,105,-15,75,95,170,65,110,60,110,110,70,45,35
22,115,150,110,110,-15,80,95,175,70,115,65,115,115,75,50,35
23,115,150,110,110,20,80,130,175,105,115,100,115,115,75,50,70
24,120,155,115,115,20,85,130,180,105,120,100,120,120,80,55,70
25,125,160,120,120,20,90,130,185,105,125,100,125,125,85,60,70
26,130,165,125,125,20,95,130,190,105,130,100,130,130,90,60,70
27,135,170,125,130,20,100,130,195,105,135,100,135,135,95,65,70
28,140,175,130,135,20,105,130,200,105,140,100,140,140,100,70,70
29,145,180,135,140,20,110,130,205,105,145,100,145,145,105,75,70
30,145,180,130,140,55,110,165,205,140,145,95,145,145,105,75,65
31,145,180,130,140,90,110,160,205,135,145,90,145,145,105,110,100
32,145,180,130,140,125,110,160,205,130,145,125,145,145,105,145,135
33,145,180,130,140,160,110,195,205,165,145,120,145,145,105,145,170
34,150,185,135,145,160,115,195,210,165,150,120,150,150,105,145,170
35,150,185,130,145,195,115,195,210,165,150,155,150,150,105,140,165
36,155,190,135,150,195,120,195,215,165,155,155,155,155,110,140,165
37,160,195,140,155,195,125,195,220,165,160,155,160,160,115,145,165
38,165,200,140,160,195,130,195,225,165,165,155,165,165,120,150,165
39,165,200,135,160,195,130,190,225,165,165,190,165,165,120,150,200
40,165,200,135,160,195,130,225,225,160,165,185,165,165,120,185,235
41,165,200,135,160,195,130,260,225,195,165,185,165,165,120,185,230
42,165,200,170,160,195,130,260,225,190,165,180,165,165,120,185,230
43,165,200,170,160,195,130,260,225,190,165,215,165,165,120,185,225
44,170,205,175,165,200,135,260,225,190,170,215,170,170,120,190,230
45,170,205,210,165,200,135,295,225,190,170,215,170,170,120,190,225
