,1%Greedy_1 0.00001,1%Greedy_2 0.00001,1%Greedy_3 0.00001
0,0,0,0
1,0,0,0
2,35,35,35
3,40,35,40
4,45,40,40
5,80,40,40
6,85,40,40
7,85,40,40
8,120,40,40
9,120,40,75
10,125,40,80
11,125,40,80
12,130,45,85
13,135,45,90
14,140,45,95
15,175,80,95
16,175,85,100
17,180,90,100
18,185,90,105
19,190,90,110
20,190,125,110
21,190,125,110
22,195,125,115
23,195,125,115
24,200,125,120
25,195,125,120
26,195,120,120
27,200,125,125
28,200,125,125
29,200,125,125
30,200,125,125
31,200,125,160
32,200,125,160
33,200,125,160
34,200,125,160
35,200,125,160
36,200,125,165
37,200,125,165
38,195,125,165
39,190,125,165
40,195,125,165
41,195,130,170
42,195,135,175
43,195,140,180
44,200,145,185
45,205,150,190
46,205,150,195
47,210,150,195
48,210,150,195
49,210,150,195
50,210,155,200
51,215,155,205
52,220,160,210
53,220,160,210
54,225,165,215
55,225,165,215
56,225,165,215
57,225,165,215
58,225,170,220
59,225,175,220
60,225,180,225
61,230,185,230
62,230,180,230
63,230,180,230
64,225,180,230
65,260,180,230
66,255,180,230
67,255,180,230
68,290,180,230
69,295,185,230
70,295,185,230
71,295,190,235
72,295,190,235
73,300,190,240
74,295,190,235
75,295,190,240
76,300,190,245
77,300,190,245
78,300,190,245
79,300,190,245
80,300,190,245
81,300,190,245
82,305,195,250
83,305,195,250
84,305,195,250
85,305,195,250
86,305,195,250
87,300,195,250
88,300,195,250
89,300,195,250
90,300,230,250
91,300,230,245
92,295,230,245
93,295,230,245
94,295,230,245
95,295,230,245
96,295,230,240
97,295,230,245
98,300,235,250
99,300,235,250
100,300,235,250
101,300,235,250
102,335,235,250
103,335,235,250
104,335,235,250
105,335,235,250
106,335,235,250
107,335,235,250
108,335,240,250
109,335,235,285
110,335,235,285
111,335,235,290
112,335,235,290
113,335,235,290
114,330,235,290
115,335,235,290
116,335,235,290
117,335,235,290
118,335,230,290
119,340,235,295
120,340,235,295
121,345,235,300
122,350,235,300
123,355,240,305
124,355,240,305
125,355,240,310
126,360,245,315
127,360,280,315
128,360,280,315
129,360,285,315
130,365,285,315
131,365,285,315
132,370,285,315
133,370,280,315
134,370,280,315
135,405,280,315
136,405,280,315
137,405,280,315
138,405,315,315
139,405,320,315
140,405,320,315
141,405,320,315
142,405,320,315
143,440,320,315
144,440,320,315
145,440,320,315
146,440,320,315
147,440,315,315
148,445,320,320
149,445,320,320
150,445,320,325
151,445,320,325
152,450,320,325
153,450,355,360
154,450,355,360
155,450,355,360
156,450,355,360
157,450,355,360
158,455,355,360
159,455,355,360
160,455,355,360
161,460,360,360
162,460,360,360
163,460,360,360
164,460,360,365
165,460,355,365
166,455,350,365
167,455,350,370
168,455,350,365
169,455,345,365
170,455,345,370
171,455,345,370
172,460,345,375
173,460,345,375
174,465,345,380
175,465,345,380
176,465,345,380
177,465,340,380
178,465,340,380
179,465,340,380
180,465,335,380
181,465,335,380
182,465,335,380
183,465,370,380
184,470,370,380
185,470,370,380
186,470,405,380
187,470,405,380
188,470,405,380
189,470,405,380
190,470,400,380
191,475,400,380
192,475,400,380
193,475,400,380
194,475,400,380
195,475,400,385
196,475,405,390
197,475,400,385
198,475,400,385
199,475,400,385
200,475,400,385
201,480,405,390
202,480,405,390
203,480,405,390
204,515,405,390
205,515,405,390
206,520,410,390
207,520,410,390
208,525,415,390
209,525,415,390
210,525,415,390
211,525,415,390
212,525,415,395
213,525,415,395
214,525,450,395
215,525,450,395
216,525,450,395
217,525,450,395
218,530,450,395
219,530,450,395
220,535,455,400
221,535,455,400
222,540,455,400
223,540,455,400
224,540,455,400
225,540,450,400
226,540,445,400
227,545,445,400
228,550,445,405
229,550,445,405
