,5%Greedy_1 0.0001,5%Greedy_2 0.0001,5%Greedy_3 0.0001,5%Greedy_4 0.0001,5%Greedy_5 0.0001,5%Greedy_6 0.0001,5%Greedy_7 0.0001
0,0,0,0,0,0,0,0
1,0,0,0,35,-5,0,35
2,0,0,0,35,-5,0,70
3,5,5,5,40,0,0,70
4,5,5,5,40,35,0,105
5,10,10,10,45,40,0,110
6,15,15,15,50,45,0,115
7,50,15,15,50,45,35,115
8,50,15,15,50,40,30,115
9,55,20,20,55,40,35,120
10,55,20,20,55,40,35,120
11,55,25,25,60,45,40,125
12,50,25,25,60,45,40,125
13,55,30,30,65,45,45,125
14,50,30,30,65,45,45,125
15,50,30,25,65,45,45,125
16,50,35,25,65,45,50,130
17,50,35,25,65,80,50,130
18,55,40,25,70,80,55,135
19,90,35,25,70,80,50,170
20,90,35,25,70,80,45,165
21,85,35,20,105,115,45,165
22,90,35,25,110,115,50,170
23,95,40,30,115,120,55,170
24,90,75,25,115,120,55,170
25,95,75,30,120,125,60,175
26,95,75,30,125,125,60,180
27,95,75,30,130,125,65,185
28,100,80,30,135,130,70,190
29,100,80,25,135,130,70,225
30,100,115,20,135,130,65,225
31,100,115,20,140,130,70,230
32,105,120,20,145,130,70,235
33,105,120,20,145,130,105,235
34,110,125,20,150,130,110,240
35,110,120,15,150,165,110,240
36,110,125,15,155,170,115,245
37,110,125,15,160,175,120,250
38,110,120,50,160,210,155,250
39,110,115,50,160,210,155,250
40,110,115,45,160,210,155,250
41,110,115,80,160,210,155,250
42,115,115,80,165,210,160,255
43,115,150,75,165,210,160,290
44,115,150,75,165,210,155,290
45,115,150,110,165,210,155,290
46,120,150,115,170,210,160,295
47,120,150,115,175,210,160,300
48,120,185,115,175,210,160,300
49,120,190,115,180,215,165,305
50,125,190,115,185,215,165,310
51,120,190,150,185,215,200,310
52,120,190,150,185,215,195,310
53,120,185,150,185,210,195,310
54,120,180,185,220,205,195,310
55,120,180,185,220,205,230,310
56,125,180,185,225,210,235,315
57,125,180,185,225,205,235,315
58,125,180,220,225,205,235,315
