,5%Greedy_1 0.00001,5%Greedy_2 0.00001,5%Greedy_3 0.00001,5%Greedy_4 0.00001
0,0,0,0,0
1,0,5,0,0
2,35,5,-5,-5
3,40,10,-5,-5
4,40,15,-5,-5
5,75,15,30,-10
6,80,20,35,-10
7,115,20,35,25
8,150,20,35,25
9,185,20,35,25
10,190,25,40,25
11,190,25,35,25
12,195,30,35,25
13,200,35,40,30
14,205,40,45,30
15,200,40,45,30
16,205,45,50,30
17,205,50,55,35
18,210,55,60,35
19,215,60,65,35
20,215,60,60,35
21,215,60,60,30
22,220,65,65,35
23,220,65,60,30
24,225,70,65,35
25,225,105,65,35
26,225,105,65,70
27,230,110,70,75
28,230,110,65,70
29,230,110,65,65
30,230,110,65,60
31,230,110,65,60
32,225,110,65,60
33,225,110,65,95
34,225,110,60,95
35,225,110,60,90
36,230,115,65,95
37,230,115,65,95
38,230,115,65,95
39,230,115,65,130
40,235,120,65,135
41,240,125,65,135
42,245,130,70,135
43,250,135,70,135
44,255,140,70,135
45,260,145,75,140
46,265,150,75,145
47,270,155,80,145
48,270,155,80,145
49,270,155,80,145
50,275,160,80,145
51,280,165,80,150
52,285,170,80,150
53,285,175,80,155
54,290,175,80,160
55,290,175,80,160
56,290,175,115,160
57,290,175,115,160
58,295,180,120,160
59,295,185,120,160
60,295,190,120,160
61,300,195,120,165
62,295,195,115,165
63,300,200,115,165
64,300,200,110,165
65,300,200,145,165
66,300,200,145,165
67,300,200,140,165
68,300,200,135,165
69,300,205,135,170
70,300,205,130,170
71,305,210,130,175
72,305,210,130,175
73,305,215,130,175
74,305,215,125,175
75,305,220,125,180
76,310,225,125,185
77,310,230,130,190
78,310,230,130,190
79,310,230,130,190
80,310,230,125,190
81,310,230,125,190
82,315,235,130,190
83,315,240,130,195
84,315,245,130,195
85,320,250,130,200
86,320,250,125,235
87,320,250,160,235
88,320,255,160,235
89,320,260,160,240
90,320,260,155,240
91,320,260,155,240
92,320,260,150,235
93,320,260,150,270
94,320,260,150,270
95,320,260,150,270
96,320,260,150,305
97,320,265,150,305
98,320,270,150,310
99,320,270,150,310
100,320,270,150,345
101,320,270,150,345
102,320,270,185,345
103,320,270,185,345
104,320,270,180,345
105,355,270,175,380
106,355,275,175,380
107,355,275,175,380
108,360,280,175,385
109,360,280,175,385
110,360,285,175,385
111,365,290,175,385
112,400,290,210,385
113,400,290,245,385
114,400,285,240,385
115,400,290,240,390
116,400,290,245,395
117,405,295,245,395
118,405,295,245,395
119,405,300,245,400
120,405,300,245,400
121,410,305,250,400
122,410,310,250,405
123,410,315,255,405
124,410,315,255,405
125,415,320,255,405
126,415,325,255,405
127,415,325,255,405
128,415,330,255,405
129,415,335,255,405
130,415,340,255,405
131,420,340,255,405
132,420,345,255,405
133,420,345,255,405
134,420,345,290,405
135,415,345,290,405
136,415,350,290,410
137,410,350,290,410
138,410,350,290,410
139,410,355,290,415
140,410,360,290,420
141,410,360,290,420
142,410,365,290,420
143,410,365,285,420
144,410,370,285,425
145,405,370,285,425
146,405,370,285,425
147,405,370,285,425
148,405,375,285,425
149,405,380,285,430
150,410,385,285,430
151,405,385,285,430
152,405,390,290,430
153,440,390,290,430
154,440,395,290,430
155,475,395,290,430
156,475,395,290,435
157,475,400,290,440
158,475,405,290,440
159,475,405,295,445
160,470,400,295,445
161,470,400,300,445
162,470,405,300,450
163,470,405,295,450
164,475,405,295,450
165,475,405,295,450
166,475,405,290,450
167,475,405,290,450
168,510,405,290,445
169,510,440,290,445
170,510,440,295,450
171,510,475,290,450
172,510,480,290,455
173,545,480,290,455
174,550,480,290,455
175,550,485,290,455
176,550,480,290,455
177,585,480,290,455
178,585,485,290,455
179,585,485,285,455
180,620,485,320,455
181,620,480,320,455
182,620,480,320,455
183,615,515,320,455
184,615,520,320,455
185,615,515,320,455
186,615,515,320,455
187,615,515,320,455
188,615,515,320,455
189,615,520,320,455
190,610,520,355,455
191,610,520,360,455
192,610,520,360,455
193,605,520,360,455
194,605,520,355,455
195,605,525,360,455
196,605,530,360,460
197,605,530,360,460
198,605,530,360,460
199,605,530,355,460
200,605,530,350,460
201,610,535,355,465
202,610,535,355,460
203,610,535,355,460
204,610,535,350,460
205,610,540,350,460
206,615,545,350,460
207,620,545,355,460
208,625,550,355,460
209,625,555,355,465
210,625,555,355,465
211,625,560,355,465
212,630,565,355,465
213,630,565,355,465
214,630,565,355,465
215,630,570,355,465
216,630,575,355,465
217,630,575,355,465
218,630,575,355,465
219,630,580,355,465
220,635,585,355,470
221,635,590,355,470
222,635,590,355,470
223,635,595,355,475
224,635,600,355,475
225,635,600,355,475
226,635,595,355,475
227,635,595,355,475
228,640,600,355,475
229,640,605,355,475
230,640,605,355,475
231,640,605,390,470
232,640,605,390,470
233,640,605,390,470
234,640,605,390,470
235,640,605,390,470
236,640,605,390,470
237,640,605,390,470
238,640,605,390,470
239,635,605,385,470
240,630,605,420,470
241,630,605,420,470
242,625,640,420,505
243,625,640,425,505
244,625,640,425,505
245,630,645,425,505
246,665,645,425,505
247,665,645,425,505
248,665,645,460,505
249,665,650,460,505
250,665,650,495,500
251,665,650,495,500
252,665,650,495,500
253,670,650,495,500
254,665,650,490,500
255,670,655,490,500
256,670,660,490,500
257,670,660,490,500
258,670,660,490,500
259,670,665,490,500
260,670,670,490,500
261,670,670,490,500
262,670,670,490,495
263,670,675,490,495
264,670,675,490,495
265,670,675,490,495
266,670,680,490,495
267,670,680,490,495
268,665,680,490,495
269,665,680,490,495
270,665,685,490,495
271,665,690,490,495
272,665,690,490,495
273,665,695,490,495
274,665,695,490,495
275,665,700,490,495
276,665,735,490,490
277,665,740,490,490
278,665,740,525,485
279,665,740,525,520
280,665,740,520,520
281,665,740,515,555
282,665,735,515,555
283,665,735,515,555
284,665,740,515,555
285,665,740,515,555
286,700,740,515,590
287,700,740,515,590
288,700,740,515,590
289,700,740,550,590
290,735,740,585,590
291,770,740,620,590
292,770,740,620,585
293,775,740,620,585
294,810,740,620,585
295,810,740,615,585
296,810,740,615,585
297,810,740,615,585
298,810,740,615,585
299,810,745,615,585
300,810,745,615,585
301,810,745,615,585
302,810,745,615,585
303,810,745,615,585
304,810,750,615,585
305,810,750,615,580
306,810,750,615,580
307,810,750,615,580
308,810,785,615,580
309,810,785,615,580
310,810,785,615,580
311,810,785,615,580
312,810,785,615,580
313,815,785,615,580
314,815,785,615,580
315,815,785,610,580
316,850,785,610,580
317,850,785,610,580
318,850,785,610,580
319,850,785,610,580
320,850,785,610,580
321,845,785,610,580
322,845,785,610,580
323,845,785,610,580
324,845,785,605,580
325,845,785,605,580
326,845,785,605,580
327,845,785,605,580
328,845,785,605,580
329,845,785,605,580
330,845,785,605,580
331,845,785,605,580
332,840,785,640,580
333,840,785,640,580
334,840,785,640,580
335,840,785,640,580
336,835,785,640,580
337,840,790,640,580
338,840,790,640,580
339,840,790,640,580
340,840,790,640,580
341,840,790,640,580
342,840,790,640,580
343,840,790,640,580
344,840,790,640,580
345,875,790,640,580
346,875,790,640,580
347,875,790,640,580
348,875,825,640,580
349,875,825,675,615
350,870,825,675,615
351,870,825,675,615
352,870,825,670,615
353,870,820,665,610
354,875,825,665,610
355,875,830,665,610
356,875,830,665,610
357,910,830,665,610
358,910,830,665,610
359,945,830,665,605
360,945,830,665,605
361,945,830,665,605
362,945,830,665,600
363,945,830,665,600
364,945,830,665,600
365,945,830,665,600
366,945,830,665,600
367,945,830,665,600
368,945,830,660,600
369,940,865,695,600
370,940,865,695,600
371,940,865,695,600
372,940,865,695,600
373,945,865,695,600
374,945,865,730,595
375,945,865,765,595
376,945,865,765,595
377,945,860,765,595
378,945,860,760,595
379,945,860,760,595
380,945,860,760,595
381,945,860,760,595
382,945,860,760,595
383,945,855,755,595
384,945,855,755,595
385,945,855,755,595
386,945,855,790,595
387,945,855,790,595
388,945,855,790,595
389,945,855,790,595
390,945,855,790,595
391,945,855,790,595
392,945,855,790,595
393,945,850,785,630
394,945,855,785,630
395,945,855,785,630
396,945,855,785,630
397,945,855,785,630
398,945,855,785,630
399,945,855,785,630
400,980,850,785,630
401,980,850,780,630
402,980,850,780,630
403,980,850,780,630
404,980,850,815,630
405,980,850,850,630
406,980,855,850,630
407,980,890,850,630
408,985,895,850,630
409,985,895,850,630
410,985,895,850,630
411,985,895,850,630
412,985,895,850,630
413,985,895,850,630
414,985,895,850,630
415,985,895,850,630
416,985,895,850,630
417,985,895,850,630
418,985,895,850,630
419,990,895,850,630
420,990,895,850,630
421,990,895,850,630
422,995,900,850,630
423,995,900,850,630
424,995,905,850,630
425,995,905,850,630
426,995,905,850,630
427,995,905,845,630
428,995,905,845,630
429,995,905,845,630
430,995,905,845,630
431,995,905,845,630
432,995,905,845,630
433,995,905,845,630
434,995,905,845,630
435,1000,910,845,630
436,1000,910,850,630
437,1000,915,850,630
438,1000,915,850,630
439,1000,915,850,630
440,1000,915,850,630
441,1000,915,850,630
442,1000,915,850,630
443,1000,915,850,630
444,1005,920,850,635
445,1005,920,850,635
446,1005,955,845,670
447,1005,955,845,670
448,1005,955,845,670
449,1005,955,845,670
450,1005,955,845,670
451,1005,955,845,670
452,1005,955,845,670
453,1005,955,845,670
454,1005,955,845,670
455,1005,955,845,670
456,1000,955,845,670
457,1000,955,845,670
458,1000,960,845,670
459,1000,960,845,670
460,1000,960,845,670
461,1000,960,845,670
462,1005,965,845,675
463,1005,965,845,675
464,1005,965,845,675
465,1005,965,845,675
466,1005,965,845,675
467,1005,965,880,675
468,1005,965,880,675
469,1005,965,880,675
470,1005,965,880,675
471,1005,965,880,675
472,1005,965,880,675
473,1005,965,915,710
474,1005,965,915,710
475,1005,965,915,710
476,1005,965,915,710
477,1005,965,915,710
478,1005,965,915,710
479,1005,965,915,715
480,1005,965,915,715
481,1005,965,915,715
482,1005,965,915,715
483,1005,965,915,715
484,1005,960,915,715
485,1005,960,915,715
486,1005,960,915,715
487,1005,960,915,715
488,1005,960,915,715
489,1005,960,915,715
490,1005,960,915,715
491,1005,960,915,715
492,1005,960,915,715
493,1005,995,915,715
494,1005,995,915,715
495,1005,995,910,715
496,1005,995,910,715
497,1005,995,910,715
498,1005,995,910,715
499,1005,995,910,715
500,1005,995,910,715
501,1005,995,910,715
502,1005,995,910,715
503,1005,995,910,715
504,1005,995,910,750
505,1005,995,910,750
506,1005,995,910,750
507,1005,995,910,750
508,1005,995,910,750
509,1005,995,910,750
510,1005,995,910,750
511,1005,995,910,750
512,1005,995,910,750
513,1005,995,910,750
514,1005,995,910,750
515,1005,995,910,750
516,1005,995,910,750
517,1005,995,910,750
518,1005,995,910,750
519,1005,995,910,750
520,1005,995,910,750
521,1005,995,910,750
522,1005,995,910,750
523,1000,995,910,750
524,1000,995,910,750
525,1000,995,945,750
526,1000,995,945,750
527,1035,990,940,745
528,1035,990,940,745
529,1070,990,940,745
530,1070,990,940,745
531,1105,990,940,745
532,1140,990,975,740
533,1140,990,975,740
534,1140,990,975,740
535,1140,990,975,740
536,1140,990,975,740
537,1140,990,975,740
538,1140,990,975,775
539,1140,990,975,775
540,1140,990,975,775
541,1140,990,975,775
542,1140,990,975,775
543,1140,990,975,775
544,1140,990,975,775
545,1140,990,975,775
546,1140,990,975,775
547,1140,990,975,775
548,1140,990,975,775
549,1140,990,975,775
550,1140,990,975,775
551,1140,990,975,775
552,1140,990,975,775
553,1145,995,975,775
554,1145,995,975,775
555,1145,1000,980,775
556,1145,1000,980,775
557,1145,1000,975,810
558,1140,1035,975,810
559,1175,1035,975,810
560,1175,1070,975,810
561,1175,1070,975,810
562,1175,1070,975,810
563,1175,1070,975,810
564,1175,1070,1010,810
565,1175,1070,1010,810
566,1175,1070,1010,810
567,1175,1070,1045,810
568,1175,1075,1045,810
569,1175,1075,1045,810
570,1175,1075,1045,810
571,1175,1075,1045,810
572,1175,1075,1045,810
573,1175,1075,1045,810
574,1175,1075,1045,810
575,1175,1075,1045,810
576,1175,1075,1045,810
577,1175,1075,1045,810
578,1175,1075,1045,810
579,1175,1075,1045,810
580,1175,1075,1045,810
581,1175,1075,1045,810
582,1175,1070,1045,810
583,1175,1070,1045,810
584,1175,1070,1045,810
585,1175,1070,1050,810
586,1175,1070,1050,810
587,1175,1070,1055,810
588,1175,1065,1055,810
589,1175,1065,1055,810
590,1175,1065,1055,810
591,1175,1065,1055,810
592,1175,1065,1055,810
593,1180,1070,1060,815
594,1180,1070,1060,810
595,1180,1065,1060,810
596,1180,1065,1060,810
597,1180,1070,1060,810
598,1180,1070,1060,810
599,1180,1070,1060,810
600,1180,1070,1060,810
601,1180,1070,1060,845
602,1180,1070,1060,845
603,1180,1070,1060,840
604,1215,1070,1060,840
605,1215,1070,1060,875
606,1215,1070,1060,870
607,1215,1070,1060,870
608,1215,1070,1060,870
609,1215,1070,1060,870
610,1215,1070,1060,870
611,1215,1070,1060,870
612,1215,1070,1060,870
613,1215,1070,1060,870
614,1215,1070,1060,870
615,1215,1065,1060,870
616,1215,1065,1060,870
617,1215,1065,1060,870
618,1215,1065,1060,870
619,1220,1070,1060,870
620,1220,1075,1060,870
621,1220,1075,1095,870
622,1220,1075,1095,870
623,1220,1075,1095,870
624,1220,1075,1095,870
625,1220,1075,1095,870
626,1220,1075,1095,865
627,1220,1075,1095,865
628,1220,1075,1095,865
629,1220,1075,1095,865
630,1215,1075,1095,865
631,1250,1075,1095,865
632,1250,1075,1095,865
633,1250,1075,1095,865
634,1250,1075,1095,865
635,1250,1075,1095,865
636,1250,1075,1095,865
637,1250,1080,1095,865
638,1250,1080,1095,865
639,1250,1080,1095,860
640,1250,1080,1095,860
641,1250,1080,1095,860
642,1250,1080,1100,860
643,1285,1115,1095,895
644,1285,1115,1090,895
645,1285,1115,1090,895
646,1285,1115,1090,895
647,1290,1120,1090,895
648,1290,1120,1090,895
649,1295,1125,1090,895
650,1295,1125,1090,930
651,1295,1125,1090,925
652,1295,1125,1090,925
653,1295,1125,1090,925
654,1295,1125,1090,960
655,1295,1120,1085,960
656,1295,1120,1085,960
657,1330,1120,1080,960
658,1330,1120,1080,960
659,1330,1120,1080,960
660,1330,1155,1115,960
661,1365,1150,1110,960
662,1365,1150,1110,960
663,1370,1155,1110,960
664,1370,1155,1110,960
665,1370,1155,1110,960
666,1370,1190,1110,960
667,1370,1190,1110,960
668,1370,1190,1110,960
669,1370,1190,1110,960
670,1370,1190,1110,960
671,1370,1225,1110,960
672,1370,1225,1110,960
673,1370,1225,1145,960
674,1370,1225,1150,960
675,1370,1225,1150,960
676,1370,1230,1150,960
677,1370,1225,1150,960
678,1370,1225,1150,960
679,1375,1230,1150,960
680,1375,1230,1150,960
681,1375,1230,1150,960
682,1375,1230,1150,960
683,1375,1230,1150,960
684,1380,1235,1150,960
685,1385,1235,1150,960
686,1385,1235,1150,960
687,1385,1235,1150,960
688,1385,1235,1155,960
689,1385,1235,1155,960
690,1390,1240,1155,965
691,1390,1240,1150,965
692,1390,1240,1150,965
693,1390,1240,1150,965
694,1390,1240,1150,965
695,1390,1240,1150,965
696,1390,1240,1150,965
697,1390,1240,1150,970
698,1390,1240,1150,970
699,1390,1245,1150,970
700,1390,1245,1150,970
701,1390,1240,1150,970
702,1390,1240,1150,970
703,1390,1240,1150,970
704,1390,1240,1185,970
705,1390,1240,1185,970
706,1390,1240,1185,970
707,1390,1240,1185,970
708,1390,1240,1185,970
709,1390,1240,1185,970
710,1390,1240,1185,970
711,1390,1240,1190,970
712,1390,1240,1190,970
713,1390,1240,1190,970
714,1390,1240,1190,970
715,1425,1240,1190,970
716,1425,1240,1190,970
717,1430,1245,1190,970
718,1435,1245,1190,970
719,1470,1245,1190,970
720,1470,1245,1190,970
721,1470,1245,1190,970
722,1470,1245,1190,970
723,1470,1245,1190,970
724,1470,1245,1190,970
725,1470,1250,1190,970
726,1470,1250,1185,970
727,1470,1245,1185,970
728,1470,1250,1185,970
729,1470,1250,1185,970
730,1465,1250,1185,970
731,1500,1250,1185,970
732,1505,1255,1185,970
733,1505,1255,1185,970
734,1505,1255,1220,970
735,1505,1255,1220,970
736,1505,1255,1220,970
737,1505,1255,1220,970
