	Steps	Greedy	1% Greedy	5% Greedy	BBB		 BBB (All Steps)
Step	0	0	-5	35	0		0
Step	10	20	5	135	145		35
Step	20	35	90	155	155		70
Step	30	70	155	190	160		70
Step	40	90	210	210	170		70
Step	50	100	320	220	180		70
Step	60	135	350	250	205		105
Step	70	155	365	270	215		105
Step	80	160	370	275	225		140
Step	90	185	395	295	240		135
Step	100	215	425	325	245		135
Step	110	250	460	360	250		135
Step	120	280	490	390	260		135
Step	130	305	515	410	265		135
Step	140	330	540	435	300		135
Step	150	360	570	500	335		135
Step	160	395	605	535	335		135
Step	170	410	620	550	415		140
Step	180	435	645	575	425		145
Step	190	460	670	600	430		145
Step	200	475	685	610	430		145
Step	210	510	720	645	430		145
Step	220	545	755	680	430		145
Step	230	580	790	715	430		145
Step	240	610	820	745	430		145
Step	250	635	845	770	435		145
Step	260	660	870	795	435		145
Step	270	670	880	805	470		145
Step	280	695	905	830	475		150
Step	290	715	925	885	475		155
Step	300	740	950	910	475		155
Step	310	760	970	930	480		155
Step	320	780	990	940	480		155
Step	330	805	1015	965	485		155
Step	340	820	1030	980	490		155
Step	350	825	1035	985	490		155
Step	360	850	1060	1010	490		160
Step	370	870	1080	1030	490		155
Step	380	890	1100	1050	490		160
Step	390	915	1125	1075	525		160
Step	400	940	1150	1100	525		160
Step	410	970	1180	1130	530		165
Step	420	1000	1210	1160	530		165
Step	430	1010	1220	1165	535		165
Step	440	1030	1240	1185	540		165
Step	450	1060	1270	1215	535		165
Step	460	1080	1290	1230	570		165
Step	470	1120	1330	1265	570		165
Step	480	1135	1345	1280	575		165
Step	490	1160	1370	1300	580		170
Step	500	1200	1410	1335	575		170
Step	510	1210	1420	1345	580		170
Step	520	1245	1455	1380	580		170
Step	530	1275	1485	1410	580		175
Step	540	1300	1510	1435	580		175
Step	550	1325	1570	1460	580		175
Step	560	1350	1595	1485	580		175
Step	570	1370	1615	1500	580		175
Step	580	1390	1635	1520	615		180
Step	590	1405	1650	1535	620		180
Step	600	1440	1685	1565	620		180
Step	610	1470	1715	1595	620		185
Step	620	1495	1740	1620	620		190
Step	630	1520	1765	1645	620		190
Step	640	1550	1795	1675	625		190
Step	650	1580	1825	1705	625		190
Step	660	1600	1845	1725	630		190
Step	670	1630	1875	1755	635		195
Step	680	1660	1905	1785	635		195
Step	690	1685	1930	1810	635		200
