,BBB 1,BBB 2,BBB 3,BBB 4
0,0,0,0,0
1,0,0,0,0
2,-5,0,0,0
3,30,0,0,0
4,35,5,5,5
5,35,0,5,0
6,35,35,5,0
7,35,35,0,0
8,35,35,0,35
9,35,35,35,35
10,35,35,35,35
11,40,40,40,40
12,40,40,40,40
13,40,40,40,40
14,45,45,45,45
15,45,45,45,45
16,45,45,45,45
17,50,50,50,50
18,50,50,50,50
19,50,50,50,50
20,55,55,55,55
21,55,55,55,55
22,60,60,60,60
23,60,60,60,60
24,60,60,60,60
25,60,60,60,60
26,65,65,65,65
27,70,70,70,70
28,70,70,70,70
29,70,70,70,70
30,75,75,70,75
31,80,80,75,80
32,80,80,75,80
33,85,85,80,85
34,90,90,85,90
35,90,90,85,90
36,90,90,85,90
37,95,95,85,95
38,100,95,85,100
39,100,100,90,105
40,105,105,95,110
41,110,110,95,115
42,115,115,100,120
43,150,115,135,120
44,155,120,135,125
45,160,125,135,130
46,165,130,140,135
47,170,130,145,140
48,175,135,150,145
49,175,135,150,145
50,175,130,150,145
51,175,165,150,145
52,180,165,155,150
53,180,165,155,150
54,180,200,155,150
55,180,200,155,150
56,185,205,160,155
57,190,210,165,160
58,190,210,165,160
59,195,215,165,165
60,200,220,165,170
61,205,225,170,175
62,205,225,170,175
63,205,225,165,175
64,210,230,165,180
65,210,230,165,180
66,215,235,165,185
67,220,240,165,190
68,225,245,165,195
69,225,245,200,195
70,225,245,200,195
71,225,245,200,195
72,225,245,200,195
73,230,250,200,200
74,230,250,200,200
75,230,250,200,200
76,230,250,200,200
77,230,250,200,200
78,235,255,205,205
79,240,260,210,210
80,240,260,210,210
81,245,265,215,215
82,250,270,220,220
83,255,275,225,225
84,260,280,230,230
85,260,280,225,230
86,260,280,225,230
87,260,280,225,230
88,260,280,225,230
89,265,280,225,235
90,270,285,230,240
91,275,290,230,245
92,275,290,230,245
93,275,290,230,245
94,280,290,230,250
95,280,290,230,250
96,285,290,230,255
97,285,290,230,255
98,285,290,230,255
99,285,290,230,255
100,290,295,235,260
101,295,295,235,265
102,295,295,235,265
103,300,300,235,270
104,305,305,235,275
105,305,305,235,275
106,305,305,235,275
107,310,310,235,280
108,310,310,235,280
109,310,310,235,280
110,310,310,235,315
111,315,315,240,320
112,315,320,240,325
113,315,320,240,325
114,315,320,240,325
115,315,320,235,325
116,320,325,235,330
117,320,325,235,330
118,325,330,235,335
119,330,335,235,340
120,330,335,235,340
121,330,335,235,340
122,330,335,235,345
123,330,335,235,345
124,330,370,235,345
125,330,370,235,345
126,330,370,235,345
127,330,370,235,345
128,335,370,240,350
129,335,370,240,350
130,335,370,275,350
131,335,370,275,355
132,335,370,275,355
133,335,370,310,355
134,340,375,315,360
135,340,380,320,365
136,340,380,355,365
137,340,380,390,365
138,345,380,390,370
139,345,385,390,375
140,350,390,390,380
141,350,390,390,385
142,355,395,390,390
143,360,400,395,395
144,360,400,395,395
145,360,400,395,395
146,360,400,395,395
147,360,400,395,400
148,365,405,400,405
149,365,405,400,405
150,370,405,400,410
151,370,405,400,410
152,370,405,400,410
153,375,405,400,415
154,375,405,400,420
155,375,405,400,420
156,375,405,400,420
157,375,405,400,420
158,380,410,405,425
159,380,410,405,430
160,380,410,405,430
161,380,410,405,435
162,380,415,405,440
163,380,415,405,440
164,380,415,405,440
165,380,415,405,440
166,375,415,405,440
167,375,415,405,440
168,375,415,405,445
169,410,410,405,445
170,410,410,405,450
171,410,410,405,450
172,410,410,405,450
173,410,410,405,450
174,410,410,405,455
175,415,415,405,460
176,415,420,405,465
177,415,420,405,465
178,415,455,405,465
179,415,455,405,465
180,415,455,405,465
181,420,455,405,470
182,425,455,405,475
183,425,455,405,480
184,425,455,405,485
185,425,460,405,490
186,425,460,405,495
187,425,460,405,500
188,425,460,405,505
189,425,460,405,510
190,430,465,410,515
191,430,465,410,515
192,430,465,410,515
193,430,470,410,520
194,430,470,410,520
195,430,470,410,520
196,430,470,410,520
197,430,470,410,525
198,435,470,410,530
199,435,470,410,535
200,435,470,410,540
201,435,465,410,540
202,435,465,410,545
203,435,465,410,545
204,435,465,410,545
205,435,465,410,545
206,435,465,410,550
207,435,465,415,555
208,435,465,415,560
209,435,465,415,565
210,435,465,415,570
211,435,465,415,575
212,435,465,415,580
213,435,465,415,580
214,435,465,415,585
215,435,465,415,585
216,435,465,415,585
217,430,465,415,585
218,465,465,410,585
219,470,465,415,590
220,470,465,415,595
221,470,465,415,595
222,470,465,415,630
223,470,465,415,635
224,470,465,415,635
225,505,465,415,635
226,505,465,415,635
227,505,465,415,640
228,505,465,410,640
229,505,465,410,640
230,505,465,410,640
231,505,465,410,640
232,505,465,410,645
233,505,465,410,645
234,505,465,410,650
235,505,470,415,655
236,505,470,415,655
237,505,470,415,655
238,505,470,415,660
239,505,475,415,665
240,505,475,415,670
241,500,475,415,670
242,500,475,415,670
243,500,475,415,670
244,500,475,415,675
245,500,475,415,675
246,500,480,420,680
247,505,480,425,685
248,505,485,425,690
249,505,485,425,695
250,505,485,425,695
251,500,485,425,695
252,495,485,425,695
253,495,485,425,700
254,495,490,430,705
255,495,490,465,705
256,530,525,500,705
257,530,530,505,710
258,530,530,505,710
259,530,530,505,710
260,530,535,510,715
261,530,535,510,715
262,535,535,515,720
263,570,535,515,720
264,570,535,515,725
265,575,535,515,730
266,575,540,515,735
267,575,540,515,740
268,575,540,515,745
269,575,545,520,750
270,575,545,520,755
271,575,545,520,760
272,575,545,520,765
273,575,545,520,765
274,575,545,520,765
275,575,545,520,770
276,575,545,520,775
277,575,545,520,780
278,610,545,555,780
279,610,545,555,780
280,610,545,555,780
281,610,545,555,785
282,610,545,555,790
283,610,545,555,790
284,610,545,555,790
285,610,545,555,790
286,610,545,555,795
287,610,545,555,795
288,610,545,555,795
289,610,545,555,800
290,610,545,555,805
291,610,545,555,810
292,610,545,555,810
293,610,545,555,815
294,610,550,555,820
295,610,550,555,825
296,610,550,555,830
297,610,550,555,830
298,610,550,555,830
299,645,550,555,830
300,645,585,555,830
301,650,590,560,835
302,650,590,560,840
303,650,590,555,840
304,650,590,555,845
305,650,590,555,845
306,650,590,555,850
307,650,590,555,850
308,650,590,555,855
309,650,590,555,855
310,650,590,555,855
311,650,590,555,855
312,650,590,555,860
313,650,595,555,865
314,650,595,555,870
315,650,595,555,870
316,650,595,555,870
317,650,595,555,875
318,650,595,555,875
319,650,600,560,880
320,650,600,560,885
321,650,600,560,885
322,650,605,560,890
323,650,605,560,895
324,650,605,560,895
325,650,605,560,895
326,650,605,560,895
327,650,605,560,900
328,650,605,560,900
329,650,605,560,900
330,650,605,560,905
331,685,605,560,905
332,685,605,560,910
333,685,605,555,910
334,685,605,555,915
335,685,605,555,915
336,685,605,555,920
337,685,605,555,920
338,685,605,555,920
339,685,605,555,925
340,685,605,590,925
341,685,605,590,925
342,685,605,590,925
343,685,605,590,925
344,685,605,590,930
345,685,605,590,930
346,690,605,595,935
347,690,605,595,940
348,725,605,595,940
349,725,605,595,940
350,725,605,595,940
351,725,610,600,945
352,725,610,600,950
353,725,610,595,950
354,725,610,595,950
355,725,610,595,950
356,725,610,595,950
357,725,610,595,955
358,725,615,600,960
359,725,615,600,965
360,725,615,600,970
361,760,615,600,970
362,760,615,600,970
363,760,615,600,970
364,755,615,600,970
365,755,615,600,970
366,755,615,600,970
367,755,615,600,975
368,755,615,600,975
369,755,615,600,975
370,755,615,600,975
371,750,615,600,975
372,750,615,600,975
373,750,615,600,975
374,750,615,600,980
375,750,615,600,980
376,750,615,600,985
377,750,615,600,985
378,750,615,600,985
379,750,615,600,985
380,750,615,600,990
381,750,615,600,990
382,750,615,600,990
383,750,615,600,995
384,750,650,600,995
385,750,685,600,995
386,750,685,600,1000
387,750,685,600,1000
388,755,690,605,1005
389,755,690,605,1005
390,750,725,605,1005
391,750,725,605,1005
392,745,725,605,1005
393,745,725,605,1010
394,745,725,605,1015
395,745,725,605,1015
396,745,725,605,1010
397,740,725,605,1010
398,740,725,605,1010
399,740,730,610,1015
400,740,730,610,1015
401,740,730,610,1015
402,740,730,610,1015
403,740,730,610,1020
404,740,730,610,1025
405,740,730,610,1025
406,740,730,610,1025
407,740,730,610,1020
408,740,730,610,1020
409,740,730,610,1020
410,740,730,610,1020
411,740,730,610,1020
412,740,730,610,1025
413,740,730,610,1020
414,740,730,610,1020
415,740,730,610,1020
416,740,730,610,1020
417,745,735,610,1025
418,745,735,610,1025
419,750,740,615,1030
420,750,740,615,1030
