Greedy,Greedy_1,Greedy_5,BBB_Adam_001,BBB_Adam_0001,BBB_RMS_001,BBB_RMS_0001
5.0,0.0,5.0,0.0,5.0,0.0,5.0
5.0,0.0,10.0,0.0,5.0,0.0,10.0
0.0,-5.0,10.0,-5.0,0.0,-5.0,10.0
35.0,30.0,45.0,30.0,35.0,30.0,10.0
35.0,30.0,50.0,30.0,35.0,30.0,15.0
40.0,30.0,55.0,30.0,40.0,30.0,20.0
40.0,30.0,60.0,30.0,45.0,30.0,25.0
40.0,30.0,65.0,30.0,45.0,30.0,30.0
40.0,30.0,65.0,30.0,45.0,30.0,30.0
75.0,65.0,65.0,65.0,45.0,65.0,30.0
75.0,65.0,70.0,65.0,50.0,65.0,35.0
75.0,65.0,70.0,65.0,50.0,65.0,35.0
75.0,65.0,75.0,65.0,55.0,65.0,40.0
75.0,65.0,75.0,65.0,55.0,65.0,40.0
75.0,65.0,80.0,65.0,60.0,65.0,45.0
75.0,65.0,80.0,65.0,60.0,65.0,45.0
75.0,65.0,85.0,65.0,65.0,65.0,50.0
75.0,65.0,90.0,65.0,65.0,65.0,55.0
110.0,100.0,90.0,65.0,65.0,65.0,55.0
145.0,135.0,90.0,100.0,65.0,100.0,55.0
145.0,135.0,90.0,100.0,65.0,100.0,55.0
145.0,135.0,95.0,100.0,70.0,100.0,60.0
145.0,135.0,95.0,100.0,70.0,100.0,60.0
145.0,135.0,100.0,100.0,70.0,100.0,65.0
145.0,135.0,100.0,100.0,70.0,100.0,65.0
145.0,135.0,100.0,135.0,105.0,135.0,65.0
150.0,140.0,105.0,135.0,110.0,135.0,70.0
150.0,140.0,105.0,135.0,110.0,135.0,70.0
155.0,145.0,110.0,135.0,115.0,135.0,75.0
155.0,145.0,110.0,135.0,115.0,135.0,75.0
155.0,145.0,115.0,135.0,120.0,135.0,80.0
155.0,145.0,115.0,135.0,120.0,135.0,80.0
155.0,145.0,120.0,135.0,125.0,135.0,85.0
155.0,145.0,120.0,135.0,125.0,135.0,85.0
155.0,145.0,125.0,135.0,125.0,135.0,90.0
155.0,145.0,125.0,135.0,125.0,135.0,90.0
160.0,145.0,130.0,135.0,125.0,135.0,95.0
160.0,145.0,130.0,130.0,125.0,130.0,95.0
195.0,145.0,130.0,130.0,125.0,130.0,95.0
200.0,145.0,135.0,130.0,130.0,130.0,100.0
205.0,150.0,140.0,135.0,130.0,135.0,105.0
205.0,150.0,145.0,135.0,130.0,135.0,110.0
205.0,150.0,145.0,135.0,130.0,135.0,110.0
205.0,150.0,145.0,135.0,130.0,135.0,110.0
205.0,150.0,145.0,135.0,130.0,135.0,110.0
205.0,150.0,145.0,135.0,130.0,135.0,110.0
205.0,150.0,145.0,135.0,130.0,135.0,110.0
205.0,150.0,150.0,135.0,135.0,135.0,115.0
205.0,150.0,150.0,135.0,135.0,135.0,115.0
205.0,150.0,150.0,135.0,135.0,135.0,115.0
205.0,150.0,155.0,135.0,140.0,135.0,120.0
205.0,150.0,155.0,135.0,140.0,135.0,120.0
205.0,150.0,155.0,135.0,140.0,135.0,120.0
205.0,150.0,160.0,135.0,145.0,135.0,125.0
210.0,155.0,165.0,135.0,150.0,135.0,130.0
210.0,155.0,165.0,130.0,150.0,130.0,130.0
210.0,155.0,170.0,130.0,155.0,130.0,135.0
210.0,155.0,170.0,125.0,155.0,125.0,135.0
215.0,155.0,175.0,130.0,160.0,130.0,140.0
215.0,155.0,180.0,130.0,160.0,130.0,145.0
215.0,155.0,185.0,130.0,165.0,130.0,150.0
220.0,160.0,190.0,130.0,165.0,130.0,155.0
220.0,160.0,195.0,130.0,170.0,130.0,160.0
220.0,195.0,195.0,130.0,170.0,130.0,160.0
220.0,195.0,195.0,130.0,170.0,130.0,160.0
220.0,195.0,195.0,130.0,170.0,130.0,160.0
225.0,200.0,200.0,135.0,175.0,135.0,165.0
225.0,200.0,200.0,135.0,175.0,130.0,165.0
225.0,200.0,200.0,135.0,175.0,125.0,165.0
225.0,200.0,205.0,140.0,180.0,125.0,170.0
225.0,200.0,210.0,140.0,185.0,125.0,175.0
225.0,200.0,210.0,135.0,185.0,120.0,175.0
225.0,200.0,210.0,170.0,185.0,155.0,175.0
225.0,200.0,210.0,170.0,185.0,155.0,175.0
225.0,200.0,215.0,170.0,190.0,155.0,180.0
225.0,200.0,220.0,170.0,195.0,155.0,185.0
225.0,200.0,225.0,170.0,200.0,155.0,190.0
225.0,200.0,230.0,170.0,200.0,155.0,195.0
225.0,205.0,235.0,170.0,205.0,155.0,200.0
225.0,205.0,235.0,170.0,205.0,155.0,200.0
225.0,205.0,240.0,170.0,210.0,155.0,205.0
225.0,205.0,240.0,170.0,210.0,155.0,240.0
225.0,205.0,240.0,170.0,210.0,155.0,240.0
225.0,205.0,240.0,170.0,210.0,155.0,240.0
225.0,205.0,240.0,170.0,210.0,155.0,240.0
225.0,205.0,240.0,170.0,210.0,155.0,240.0
225.0,205.0,240.0,170.0,210.0,155.0,240.0
230.0,205.0,245.0,170.0,210.0,155.0,245.0
230.0,205.0,245.0,170.0,210.0,155.0,245.0
230.0,205.0,245.0,165.0,210.0,150.0,245.0
230.0,205.0,245.0,200.0,210.0,185.0,245.0
230.0,205.0,250.0,200.0,210.0,185.0,250.0
230.0,205.0,255.0,200.0,215.0,185.0,255.0
230.0,205.0,260.0,200.0,215.0,185.0,260.0
230.0,205.0,265.0,200.0,220.0,185.0,265.0
230.0,205.0,265.0,195.0,215.0,180.0,265.0
230.0,205.0,270.0,195.0,215.0,180.0,270.0
230.0,205.0,275.0,195.0,220.0,180.0,275.0
230.0,205.0,275.0,195.0,220.0,180.0,275.0
230.0,205.0,280.0,195.0,220.0,180.0,280.0
230.0,205.0,280.0,195.0,220.0,180.0,280.0
230.0,205.0,280.0,195.0,255.0,180.0,280.0
230.0,205.0,285.0,195.0,255.0,180.0,285.0
230.0,205.0,285.0,195.0,255.0,180.0,285.0
230.0,205.0,285.0,195.0,255.0,180.0,285.0
230.0,205.0,285.0,195.0,255.0,180.0,285.0
230.0,205.0,285.0,195.0,255.0,180.0,285.0
230.0,205.0,290.0,195.0,260.0,180.0,290.0
230.0,205.0,290.0,195.0,260.0,180.0,290.0
230.0,205.0,295.0,195.0,265.0,180.0,295.0
230.0,205.0,300.0,195.0,270.0,180.0,300.0
230.0,205.0,300.0,195.0,270.0,180.0,300.0
230.0,205.0,305.0,195.0,270.0,180.0,305.0
230.0,205.0,305.0,195.0,270.0,180.0,305.0
230.0,205.0,305.0,195.0,270.0,180.0,305.0
235.0,210.0,310.0,200.0,275.0,180.0,310.0
235.0,210.0,310.0,200.0,275.0,175.0,310.0
235.0,210.0,310.0,200.0,275.0,175.0,310.0
240.0,215.0,315.0,200.0,280.0,175.0,315.0
240.0,215.0,315.0,200.0,280.0,175.0,315.0
240.0,215.0,315.0,200.0,280.0,175.0,315.0
240.0,215.0,320.0,205.0,285.0,175.0,320.0
240.0,215.0,325.0,205.0,285.0,175.0,325.0
240.0,215.0,330.0,205.0,285.0,175.0,330.0
240.0,215.0,330.0,205.0,285.0,175.0,330.0
240.0,215.0,330.0,205.0,285.0,175.0,330.0
240.0,215.0,330.0,205.0,285.0,175.0,330.0
240.0,215.0,330.0,205.0,285.0,175.0,330.0
240.0,215.0,330.0,205.0,285.0,175.0,330.0
240.0,215.0,330.0,205.0,285.0,175.0,330.0
245.0,215.0,335.0,210.0,290.0,180.0,335.0
245.0,215.0,340.0,210.0,295.0,180.0,340.0
245.0,215.0,345.0,210.0,300.0,180.0,345.0
245.0,215.0,350.0,210.0,305.0,180.0,350.0
245.0,215.0,355.0,210.0,305.0,180.0,355.0
245.0,215.0,355.0,210.0,305.0,180.0,355.0
245.0,215.0,355.0,210.0,305.0,180.0,355.0
245.0,215.0,355.0,205.0,305.0,175.0,355.0
245.0,215.0,360.0,205.0,305.0,175.0,360.0
245.0,215.0,365.0,205.0,305.0,175.0,365.0
245.0,215.0,365.0,205.0,305.0,175.0,365.0
245.0,215.0,370.0,205.0,310.0,175.0,370.0
245.0,215.0,370.0,240.0,345.0,210.0,370.0
245.0,215.0,370.0,240.0,345.0,210.0,370.0
245.0,215.0,375.0,240.0,350.0,210.0,375.0
245.0,215.0,380.0,245.0,350.0,215.0,380.0
245.0,215.0,385.0,245.0,355.0,215.0,385.0
245.0,215.0,390.0,245.0,355.0,215.0,390.0
245.0,215.0,395.0,245.0,360.0,215.0,395.0
240.0,215.0,395.0,245.0,360.0,215.0,395.0
240.0,215.0,400.0,245.0,360.0,215.0,400.0
235.0,215.0,400.0,245.0,360.0,215.0,400.0
235.0,215.0,405.0,245.0,360.0,215.0,405.0
235.0,215.0,405.0,240.0,360.0,215.0,405.0
235.0,210.0,405.0,235.0,360.0,215.0,405.0
235.0,210.0,410.0,235.0,365.0,215.0,410.0
270.0,210.0,410.0,235.0,365.0,215.0,410.0
