,BBB s2,BBB s5,Greedy,1% Greedy,5% Greedy
0,0,0,0,0,0
1,0,0,35,-5,35
2,35,35,35,30,35
3,30,35,35,30,35
4,30,35,35,30,35
5,35,40,40,35,40
6,35,40,40,35,40
7,35,40,40,35,40
8,35,40,40,35,40
9,40,45,45,40,45
10,35,45,45,40,45
11,40,50,50,45,50
12,75,85,50,45,50
13,75,80,50,45,50
14,80,85,55,50,55
15,80,85,55,50,55
16,85,85,60,55,60
17,90,90,65,60,65
18,90,90,65,60,65
19,95,95,70,65,65
20,100,95,75,70,70
21,105,100,80,75,75
22,110,100,85,80,80
23,110,100,85,80,80
24,115,105,90,85,85
25,115,140,90,85,85
26,120,145,95,90,90
27,125,150,100,95,95
28,130,155,105,100,95
29,130,160,110,105,100
30,130,160,110,105,100
31,130,165,115,110,105
32,130,165,115,110,105
33,135,170,120,115,110
34,135,170,125,120,115
35,140,170,130,125,120
36,140,170,130,125,120
37,140,170,130,125,120
38,145,170,135,130,125
39,145,170,135,130,125
40,150,175,140,135,130
41,150,180,145,140,130
42,150,180,145,140,130
43,155,185,150,145,135
44,190,185,150,145,135
45,195,185,155,150,140
46,195,185,160,155,145
47,195,185,160,155,180
48,195,185,160,155,180
49,195,185,160,155,180
50,200,190,165,160,185
51,205,195,170,165,190
52,205,200,175,170,195
53,205,200,175,170,195
54,205,200,175,170,195
55,210,205,180,175,200
56,210,205,180,175,200
57,215,205,185,180,205
58,215,205,185,175,205
59,220,210,190,180,210
60,220,210,190,180,210
61,220,210,195,185,215
62,220,210,195,185,215
63,220,210,200,190,220
64,220,210,200,190,220
65,220,210,205,195,225
66,225,215,210,200,230
67,225,215,210,200,230
68,225,215,210,200,230
69,230,215,215,205,235
70,230,215,215,205,235
71,235,220,220,210,240
72,240,225,225,215,245
73,240,225,225,215,245
74,240,230,230,220,250
75,240,230,235,225,255
76,240,230,235,225,255
77,275,230,235,225,255
78,275,230,235,225,255
79,275,230,235,225,255
80,275,230,235,225,255
81,280,235,240,230,260
82,280,235,240,230,260
83,280,240,245,235,265
84,280,240,245,235,265
85,285,245,250,240,270
86,285,245,250,240,270
87,290,245,255,245,275
88,290,245,255,245,275
89,290,245,255,245,275
90,285,245,255,245,275
91,285,245,260,250,280
92,285,245,260,250,280
93,290,245,265,255,285
94,290,245,270,260,290
95,290,250,275,265,295
96,290,250,275,265,295
97,290,255,280,270,300
98,295,255,285,275,305
99,295,255,290,280,310
100,290,255,290,280,310
101,295,255,295,285,315
102,295,255,300,290,320
103,295,255,300,290,320
104,295,255,300,290,320
105,295,255,305,295,325
106,295,255,305,295,325
107,295,255,305,295,325
108,295,255,305,295,325
109,300,255,310,300,330
110,305,255,315,305,335
111,300,255,315,305,335
112,300,255,320,310,340
113,300,255,320,310,340
114,300,250,320,310,340
115,300,255,325,315,345
116,300,255,330,320,350
117,300,255,330,320,350
118,300,255,330,320,350
119,300,255,330,320,350
120,300,255,330,320,350
121,300,255,330,320,350
122,300,255,335,325,355
123,300,255,335,325,355
124,305,260,340,330,360
125,305,260,340,330,360
126,305,265,345,335,360
127,305,265,345,335,360
128,305,270,350,340,360
129,305,270,350,340,360
130,305,270,355,345,365
131,305,270,355,345,365
132,305,270,360,345,370
133,305,275,365,345,375
134,305,270,365,345,375
135,305,270,370,345,380
136,310,275,375,345,380
137,310,275,375,345,380
138,310,275,380,345,385
139,315,275,385,345,390
140,315,275,385,345,390
141,315,275,385,345,390
142,315,275,390,345,390
143,320,280,395,350,395
144,320,280,395,350,395
145,325,280,400,350,400
146,325,280,400,350,400
147,325,280,405,350,405
148,330,280,410,350,405
149,335,280,415,350,410
150,335,280,415,350,410
151,335,280,420,350,415
152,340,280,425,350,415
153,340,285,430,350,420
154,345,285,435,350,425
155,350,285,440,350,425
156,350,285,440,350,425
157,355,285,445,350,430
158,355,285,445,350,430
159,360,285,450,350,435
160,365,290,455,350,440
161,365,290,455,350,440
162,365,290,455,350,440
163,365,290,460,350,445
164,365,290,460,350,445
165,365,290,460,350,445
166,365,290,460,350,445
167,365,295,465,350,450
168,365,300,470,350,450
169,365,300,475,350,455
170,365,305,480,350,460
171,370,310,485,350,465
172,370,315,490,350,470
173,370,315,490,350,470
174,370,315,490,350,470
175,370,315,495,350,470
176,370,315,495,350,470
177,370,315,495,350,470
178,375,315,500,350,475
179,380,320,505,350,475
180,380,320,505,345,475
181,380,320,505,345,475
182,385,320,510,345,480
183,390,320,515,345,485
184,390,320,520,345,490
185,390,320,525,345,495
186,395,320,530,345,500
187,395,320,535,345,505
188,395,325,540,345,505
189,395,330,545,345,505
190,430,330,545,345,505
191,430,330,545,345,505
192,430,330,550,345,510
193,430,330,550,345,510
194,430,330,550,345,510
195,435,330,555,345,510
196,440,330,560,345,515
197,445,330,565,345,520
198,445,335,570,345,525
199,445,335,570,345,525
200,445,335,575,345,530
201,450,335,580,345,535
202,455,335,585,345,540
203,460,340,590,345,545
204,460,340,590,345,545
205,460,345,595,345,545
206,455,345,595,345,545
207,460,350,600,345,545
208,460,355,605,345,545
209,455,355,605,345,545
210,455,355,605,345,545
211,455,360,610,345,545
212,460,360,615,345,550
213,460,360,615,345,550
214,455,360,615,345,550
215,450,360,615,345,550
216,450,360,615,345,550
217,450,360,615,345,550
218,455,365,620,345,555
219,455,365,620,345,560
220,460,365,625,345,560
221,455,365,625,345,560
222,455,365,630,345,560
223,455,365,630,345,560
224,460,365,630,345,560
225,460,365,630,345,560
226,460,365,630,345,560
227,460,365,630,345,565
228,460,365,630,345,570
229,465,365,630,345,575
230,470,370,630,345,575
231,475,375,630,345,575
232,475,375,630,345,575
233,475,375,630,345,575
234,475,375,630,345,575
235,475,375,630,345,580
236,475,375,630,345,580
237,480,375,630,345,585
238,480,375,630,345,585
239,480,380,630,345,585
240,485,385,630,345,585
241,490,385,630,345,590
242,490,385,630,345,590
243,490,390,630,345,595
244,490,390,630,345,595
245,490,395,635,345,600
246,490,395,635,345,605
247,490,395,635,345,610
248,490,395,635,380,610
249,490,395,635,380,610
250,490,400,635,380,610
251,495,405,635,380,610
252,495,405,635,380,610
253,490,405,635,380,610
254,490,405,635,380,610
255,490,410,635,380,610
256,495,410,635,380,610
257,495,410,635,380,610
258,495,410,635,380,610
259,495,405,635,380,610
260,495,405,635,380,610
261,495,405,635,380,610
262,495,410,635,380,610
263,500,410,635,380,610
264,505,415,635,380,610
265,510,415,635,380,610
266,510,415,635,380,610
267,515,420,635,380,615
268,515,420,635,380,615
269,515,420,635,380,615
270,520,420,635,380,615
271,520,420,635,380,615
272,555,420,635,380,615
273,555,420,635,380,615
274,560,425,635,380,615
275,560,425,635,380,615
276,560,425,635,380,615
277,560,425,635,380,615
278,560,425,635,380,615
279,565,430,635,380,615
280,565,430,635,380,615
281,565,430,635,380,615
282,565,430,635,380,615
283,565,430,635,380,615
284,565,430,635,380,615
