,1% Greedy,5 %Greedy,Bayes By BackProp,Greedy
0,0,0,0,0
1,0,-5,-5,-5
2,0,0,-5,0
3,35,0,30,0
4,30,0,30,0
5,30,0,65,0
6,30,0,65,0
7,35,5,70,5
8,40,10,75,10
9,45,15,80,15
10,50,20,85,20
11,50,20,85,20
12,50,20,85,20
13,50,20,85,20
14,50,20,85,20
15,50,20,85,20
16,50,20,85,20
17,55,25,90,25
18,55,25,90,25
19,55,25,90,25
20,60,30,90,30
21,65,35,90,35
22,65,35,90,35
23,65,35,90,35
24,70,40,95,40
25,70,40,95,40
26,70,40,95,40
27,70,40,95,40
28,75,45,100,45
29,75,45,100,45
30,75,40,100,45
31,75,40,100,45
32,80,45,100,50
33,80,45,100,50
34,85,50,105,55
35,85,50,100,55
36,85,50,100,55
37,90,55,100,60
38,90,55,100,60
39,90,55,100,60
40,90,55,100,60
41,90,55,100,60
42,90,55,100,60
43,95,60,105,65
44,100,65,110,70
45,100,65,110,70
46,100,65,110,70
47,105,70,115,75
48,110,75,120,80
49,115,80,125,85
50,120,80,125,90
51,125,85,130,95
52,125,85,130,95
53,130,90,135,100
54,135,95,135,105
55,135,95,135,105
56,135,95,135,105
57,135,95,135,105
58,135,95,135,105
59,135,95,130,105
60,140,100,135,110
61,140,100,135,110
62,145,105,135,115
63,145,105,135,115
64,145,105,135,115
65,150,110,140,120
66,155,115,140,125
67,155,115,140,125
68,160,120,145,130
69,165,125,150,135
70,170,130,150,140
71,170,130,150,140
72,170,130,150,140
73,170,130,150,140
74,170,130,150,140
75,170,130,150,140
76,170,130,150,140
77,175,135,155,145
78,175,135,155,145
79,180,140,160,150
80,185,145,165,155
81,185,145,165,155
82,185,145,165,155
83,190,150,170,160
84,190,150,170,160
85,190,150,205,160
86,195,155,210,165
87,195,155,210,165
88,195,155,210,165
89,200,160,215,170
90,205,165,220,175
91,205,165,220,175
92,210,170,225,180
93,215,175,230,185
94,220,175,235,190
95,220,175,235,190
96,220,175,235,190
97,220,175,235,190
98,220,175,235,190
99,220,175,235,190
100,220,175,235,190
101,225,180,235,195
102,225,180,235,195
103,230,185,240,200
104,230,185,240,200
105,230,185,240,200
106,235,190,245,205
107,235,190,245,205
108,235,190,245,205
109,235,190,245,205
110,235,190,245,205
111,240,195,250,210
112,240,195,250,210
113,245,200,255,215
114,250,205,255,220
115,250,205,255,220
116,255,210,255,225
117,255,210,255,225
118,260,215,260,230
119,260,215,260,230
120,260,215,260,230
121,265,220,265,235
122,265,220,265,235
123,265,220,265,235
124,265,220,265,235
125,265,220,265,235
126,265,220,265,235
127,265,220,300,235
128,265,220,300,235
129,265,220,300,235
130,270,225,305,240
131,270,225,305,240
132,270,220,340,240
133,275,225,345,245
134,280,230,350,250
135,280,230,350,250
136,280,230,350,250
137,280,230,345,250
138,285,235,350,255
139,290,240,355,260
140,290,240,355,260
141,295,245,355,265
142,300,250,355,270
143,300,250,355,270
144,300,250,350,270
145,300,250,350,270
146,300,250,350,270
147,305,255,355,275
148,310,260,355,280
149,315,265,355,285
150,320,265,360,290
151,320,265,360,290
152,325,265,365,295
153,325,265,365,295
154,330,265,370,300
155,335,270,375,305
156,335,270,375,305
157,340,275,380,310
158,340,275,380,310
159,345,275,380,315
160,345,275,380,315
161,350,280,380,320
162,355,285,385,325
163,360,290,385,330
164,365,295,390,335
165,365,295,390,335
166,370,300,390,340
167,370,300,390,340
168,375,305,395,345
169,380,310,395,350
170,385,310,400,355
171,385,310,400,355
172,390,315,400,360
173,390,315,400,360
174,395,320,405,365
175,395,320,405,365
176,400,320,410,370
177,400,320,410,370
178,400,320,410,370
179,405,325,410,375
180,410,330,410,380
181,410,330,410,380
182,415,335,410,385
183,415,335,410,385
184,420,335,415,390
185,420,335,415,390
186,420,335,415,390
187,420,335,415,390
188,420,335,415,390
189,420,335,420,395
190,420,335,420,395
191,420,335,420,395
192,425,335,425,400
193,430,340,430,405
194,435,340,435,410
195,435,340,435,410
196,435,340,435,410
197,435,340,470,410
198,440,340,470,415
199,445,340,475,420
200,445,345,480,425
201,450,345,485,430
202,450,345,485,430
203,450,345,485,430
204,455,350,490,435
205,460,350,490,440
206,460,350,490,440
207,460,350,490,440
208,460,350,490,440
209,460,350,490,440
210,460,350,490,440
211,460,350,490,440
212,465,350,495,445
213,465,350,500,450
214,465,350,500,450
215,465,350,500,450
216,470,350,505,455
217,475,355,510,460
218,480,355,510,465
219,480,355,510,465
220,485,355,515,470
221,485,355,515,470
222,485,355,515,470
223,485,355,550,470
224,490,355,555,470
225,495,355,555,470
226,495,355,555,470
227,495,390,555,470
228,500,395,560,470
229,505,395,565,470
230,510,400,565,470
231,510,400,565,470
232,510,400,565,470
233,510,400,565,470
234,510,400,565,470
235,510,400,565,470
236,515,400,565,470
237,515,400,565,470
238,515,400,565,470
239,520,400,565,470
240,525,405,565,475
241,525,405,565,475
242,530,410,565,475
243,530,410,565,475
244,530,410,565,510
245,530,410,565,510
246,530,410,565,510
247,530,410,565,510
248,530,410,565,510
249,535,415,570,510
250,535,415,570,510
251,540,415,575,510
252,540,415,575,510
253,540,415,570,510
254,540,415,575,510
255,545,415,580,510
256,545,415,580,510
257,545,415,580,510
258,545,415,580,510
259,550,415,580,510
260,550,415,580,510
261,555,420,580,510
262,555,420,580,510
263,560,425,585,510
264,560,425,585,510
265,560,425,585,510
266,560,425,585,510
267,560,425,590,510
268,565,425,590,510
269,570,430,595,510
270,570,430,595,510
271,570,430,595,510
272,570,430,595,510
273,575,430,595,510
274,580,430,600,510
275,580,430,600,510
276,580,430,600,510
277,580,430,600,510
278,580,430,600,510
279,580,430,600,510
280,580,430,600,510
281,585,430,600,510
282,585,430,605,510
283,590,430,605,510
284,590,430,605,510
285,590,430,605,510
286,595,430,605,510
287,600,435,605,510
288,600,435,610,510
289,600,435,610,510
290,600,435,610,510
291,600,435,610,510
292,600,435,610,510
293,605,435,610,510
294,605,435,610,510
295,610,435,615,510
296,610,435,615,510
297,615,435,620,510
298,615,435,625,510
299,615,435,630,510
300,615,435,630,545
301,620,440,635,545
302,620,440,635,545
303,620,440,635,545
304,620,440,635,545
305,620,440,635,545
306,620,440,635,545
307,620,440,635,545
308,620,440,635,545
309,625,440,640,545
310,625,440,645,545
311,625,440,645,545
312,625,440,645,545
313,625,440,650,545
314,625,440,655,545
