,BBB,Greedy
0,0,0
1,0,0
2,0,0
3,0,0
4,5,5
5,5,40
6,5,40
7,10,45
8,10,45
9,15,50
10,15,50
11,20,55
12,20,55
13,20,60
14,20,65
15,20,70
16,20,75
17,20,75
18,20,80
19,20,80
20,20,80
21,20,85
22,25,90
23,25,90
24,25,95
25,25,95
26,25,95
27,25,95
28,25,100
29,25,100
30,25,100
31,25,100
32,25,100
33,25,100
34,25,105
35,25,110
36,25,115
37,25,115
38,25,115
39,25,115
40,25,120
41,25,120
42,25,125
43,25,125
44,25,130
45,25,130
46,25,130
47,25,135
48,25,140
49,25,140
50,25,145
51,25,150
52,25,150
53,25,155
54,25,155
55,25,160
56,25,160
57,25,165
58,25,165
59,25,170
60,25,170
61,25,170
62,25,175
63,25,180
64,25,185
65,25,190
66,25,190
67,25,190
68,25,190
69,25,195
70,25,195
71,25,195
72,25,200
73,25,200
74,25,200
75,25,200
76,25,200
77,25,205
78,25,210
79,25,215
80,25,220
81,25,220
82,25,225
83,25,230
84,25,235
85,25,240
86,25,240
87,25,240
88,25,240
89,25,240
90,25,240
91,25,240
92,25,240
93,25,240
94,25,240
95,25,240
96,25,245
97,25,245
98,25,250
99,25,255
100,25,260
101,25,265
102,25,270
103,25,275
104,25,275
105,25,280
106,25,285
107,25,290
108,25,295
109,25,295
110,25,300
111,25,300
112,25,305
113,25,310
114,25,315
115,25,315
116,25,315
117,25,320
118,25,325
119,60,325
120,60,325
121,60,330
122,60,335
123,60,335
124,60,340
125,60,340
126,60,345
127,60,345
128,60,345
129,60,350
130,60,355
131,60,360
132,60,365
133,60,365
134,95,365
135,95,370
136,95,370
137,95,370
138,95,375
139,95,375
140,95,380
141,90,380
142,90,385
143,90,390
144,90,390
145,90,390
146,90,390
147,90,390
148,90,390
149,90,390
150,90,395
151,90,400
152,90,405
153,90,405
154,90,410
155,90,415
156,90,415
157,90,415
158,90,420
159,125,420
160,125,420
161,125,420
162,125,425
163,125,425
164,125,430
165,125,430
166,125,430
167,125,435
168,125,435
169,125,435
170,120,435
171,120,435
172,120,435
173,120,440
174,120,445
175,155,445
176,155,450
177,155,455
178,155,455
179,155,455
180,155,460
181,190,460
182,190,460
183,190,465
184,190,470
185,190,470
186,190,475
187,190,475
188,225,475
189,225,480
190,225,480
191,225,485
192,225,485
193,225,490
194,225,495
195,225,500
196,225,500
197,225,500
198,225,505
199,225,505
200,225,510
201,225,510
202,225,515
203,225,515
204,225,520
205,225,525
206,225,525
207,260,525
208,260,525
209,260,525
210,260,530
211,260,530
212,260,535
213,260,540
214,260,545
215,260,550
216,295,550
217,295,550
218,290,550
219,290,550
220,290,555
221,290,555
222,285,555
223,285,555
224,285,560
225,285,565
226,285,570
227,285,575
228,280,575
229,280,580
230,280,585
231,280,590
232,280,590
233,280,595
234,280,600
235,280,600
236,280,600
237,280,605
238,280,610
239,280,615
240,280,620
241,280,620
242,280,620
243,275,620
244,310,620
245,310,620
246,310,625
247,310,625
248,310,625
249,310,630
250,310,630
251,310,635
252,310,635
253,310,635
254,310,635
255,310,640
256,310,640
257,310,640
258,310,640
259,310,640
260,345,640
261,345,645
262,345,650
263,345,655
264,345,660
265,345,665
266,345,670
267,345,675
268,345,675
269,345,675
270,345,680
271,345,685
272,345,685
273,345,690
274,345,695
275,345,695
276,345,695
277,345,700
278,345,705
279,345,705
280,345,710
281,345,710
282,380,710
283,380,710
284,380,715
285,380,715
286,380,720
287,380,725
288,380,725
289,380,725
290,415,725
291,415,725
292,415,725
293,415,725
294,415,725
295,415,725
296,415,730
297,415,730
298,415,735
299,415,740
300,415,745
301,415,745
302,415,750
303,415,750
304,415,750
305,415,750
306,415,755
307,415,760
308,415,760
309,415,760
310,415,760
311,410,760
312,410,765
313,410,765
314,410,765
315,410,765
316,410,765
317,410,770
318,445,770
319,445,775
320,440,775
321,440,780
322,475,780
323,475,780
324,475,780
325,475,785
326,475,785
327,475,790
328,510,790
329,510,795
330,510,795
331,510,800
332,510,800
333,510,805
334,510,805
335,505,805
336,540,805
337,540,810
338,540,810
339,540,815
340,540,820
341,540,820
342,540,820
343,575,820
344,575,820
345,575,820
346,575,825
347,575,830
348,575,835
349,610,835
350,610,840
351,610,840
352,610,845
353,610,845
354,610,845
355,610,845
356,610,850
357,605,850
358,605,855
359,605,855
360,605,855
361,605,860
362,640,860
363,635,860
364,635,865
365,635,865
366,635,865
367,635,870
368,635,875
369,635,880
370,635,880
371,635,880
372,670,880
373,670,880
374,670,885
375,670,885
376,670,885
377,705,885
378,705,885
379,700,885
380,700,885
381,700,890
382,700,890
383,700,895
384,695,895
385,690,895
386,690,895
387,690,900
388,690,900
389,690,905
390,690,910
391,690,910
392,690,915
393,690,915
394,690,915
395,690,915
396,690,915
397,690,920
398,690,925
399,690,925
400,690,925
401,690,925
402,690,925
403,690,925
404,690,930
405,690,935
406,690,935
407,690,935
408,690,940
409,690,945
410,725,945
411,725,945
412,725,950
413,725,950
414,725,950
415,725,950
416,725,950
417,725,950
418,725,950
419,760,950
420,760,950
421,760,955
422,760,960
423,760,965
424,760,970
425,760,975
426,760,980
427,760,985
428,760,985
429,760,985
430,760,985
431,760,990
432,760,995
433,760,995
434,755,995
435,755,995
436,755,995
437,755,1000
438,755,1005
439,755,1010
440,750,1010
441,745,1010
442,745,1010
443,745,1010
444,745,1015
445,745,1015
446,745,1020
447,745,1020
448,745,1025
449,745,1025
450,745,1030
451,745,1035
452,745,1040
453,745,1040
454,745,1040
455,745,1045
456,745,1045
457,740,1045
458,740,1050
459,740,1050
460,740,1050
461,740,1050
462,740,1055
463,740,1055
464,740,1060
465,740,1060
466,740,1065
467,740,1065
468,740,1070
469,740,1070
470,740,1070
471,740,1070
472,735,1070
473,735,1075
474,730,1075
475,730,1075
476,725,1075
477,720,1075
478,720,1075
479,720,1075
480,720,1075
481,720,1075
482,715,1075
483,715,1075
484,715,1080
485,715,1085
486,715,1085
487,715,1090
488,715,1090
489,715,1090
490,750,1090
491,750,1095
492,750,1095
493,745,1095
494,745,1095
495,745,1100
496,745,1100
497,745,1100
498,740,1100
499,740,1105
500,740,1105
501,740,1110
502,740,1115
503,740,1115
504,740,1115
505,740,1115
506,740,1120
507,740,1120
508,740,1120
509,740,1125
510,740,1125
511,740,1130
512,740,1135
513,740,1135
514,740,1135
515,740,1135
516,740,1135
517,740,1135
518,740,1140
519,740,1145
520,740,1145
521,735,1145
522,735,1145
523,735,1150
524,770,1150
525,770,1155
526,770,1155
527,770,1155
528,770,1155
529,770,1155
530,770,1160
531,805,1160
532,805,1165
533,805,1165
534,800,1165
535,800,1165
536,835,1165
537,835,1165
538,835,1165
539,835,1165
540,830,1165
541,830,1165
542,830,1165
543,830,1165
544,830,1170
545,830,1175
546,830,1175
547,830,1175
548,830,1175
549,830,1175
550,825,1175
551,825,1175
