,1%Greedy_1 0.0001,1%Greedy_2 0.0001,1%Greedy_3 0.0001,1%Greedy_4 0.0001,1%Greedy_5 0.0001,1%Greedy_6 0.0001,1%Greedy_7 0.0001
0,0,0,0,0,0,0,0
1,5,5,0,0,0,5,0
2,5,5,35,0,0,5,0
3,5,10,35,5,0,10,0
4,5,15,35,10,0,15,5
5,5,20,35,10,0,20,10
6,10,25,35,15,0,25,10
7,10,25,35,50,35,25,5
8,45,25,30,50,30,25,0
9,40,60,30,45,30,25,0
10,35,60,30,45,65,25,0
11,35,60,25,45,60,25,0
12,40,65,30,50,60,30,5
13,40,65,30,55,65,35,5
14,45,65,35,60,70,35,10
15,80,60,70,55,65,70,5
16,115,95,70,55,65,70,40
17,115,130,70,55,60,105,75
18,115,125,70,50,60,105,110
19,115,125,70,50,55,105,105
20,115,130,75,55,60,110,110
21,120,135,75,60,65,110,110
22,120,135,75,65,70,110,115
23,155,130,75,65,70,110,150
24,190,130,75,65,65,105,150
25,195,135,80,70,70,110,150
26,190,130,80,65,70,105,150
27,190,130,75,65,70,105,145
28,195,135,75,70,75,105,150
29,195,135,75,70,75,105,185
30,190,135,75,70,75,105,180
31,190,135,75,70,70,105,215
32,195,140,75,75,75,110,220
33,200,145,80,80,80,115,225
34,200,145,80,80,80,110,225
35,200,150,85,85,80,115,230
36,195,150,85,80,80,115,230
37,200,150,90,85,85,115,235
38,200,155,90,90,90,115,240
39,200,155,90,90,90,150,240
40,195,155,90,90,125,150,240
41,200,160,95,95,130,155,240
42,200,160,95,95,130,150,240
43,200,160,95,95,130,185,240
44,195,155,95,95,130,185,240
45,200,160,100,100,135,190,245
46,200,160,100,100,135,190,245
47,205,160,105,105,140,195,250
48,210,165,105,110,145,195,255
49,210,165,105,110,140,195,255
50,215,165,110,115,145,200,260
51,220,170,115,120,150,200,265
52,215,170,115,120,150,200,265
53,210,170,115,120,150,195,265
54,210,170,115,120,150,195,265
55,210,175,120,125,155,200,270
56,205,175,115,125,155,235,270
57,200,175,115,125,190,235,270
