,Greedy_1 0.0001,Greedy_2 0.0001,Greedy_3 0.0001,Greedy_4 0.0001,Greedy_5 0.0001,Greedy_6 0.0001
0,0,0,0,0,0,0
1,0,0,-5,0,-5,35
2,0,0,0,5,-5,40
3,5,0,5,10,0,45
4,5,35,0,10,-5,45
5,10,35,0,15,0,50
6,15,40,5,20,5,55
7,20,40,5,25,5,60
8,20,40,5,30,5,65
9,20,40,40,30,40,65
10,25,40,45,35,45,70
11,25,40,45,35,40,105
12,25,40,45,35,40,105
13,25,40,40,35,40,100
14,30,45,45,40,45,105
15,35,50,50,45,50,110
16,35,50,50,45,50,110
17,40,55,55,50,55,115
18,35,90,55,50,50,115
19,35,90,60,55,50,120
20,35,85,60,55,85,115
21,35,85,65,60,90,120
22,70,85,65,60,90,120
23,70,80,100,60,125,155
24,70,85,105,65,130,160
25,105,85,105,65,130,160
26,110,90,110,70,135,165
27,110,90,110,70,135,165
28,110,90,110,70,130,165
29,115,90,115,75,135,170
30,120,95,120,80,140,175
31,120,95,120,80,140,170
32,120,95,120,80,140,170
33,125,100,125,85,145,175
34,125,105,130,90,150,180
35,130,110,135,95,155,185
36,130,115,140,100,160,190
37,130,120,145,105,165,195
38,135,125,150,110,170,200
39,135,125,150,110,170,200
40,135,130,155,115,175,205
41,135,135,160,120,175,210
42,135,135,160,120,175,245
43,140,140,165,125,180,250
44,140,140,165,125,180,250
45,145,145,170,130,185,255
46,150,150,175,135,190,260
47,150,150,175,135,190,260
48,185,150,175,135,190,260
49,185,150,175,130,185,260
50,185,150,175,130,185,260
51,185,150,175,130,185,260
52,185,155,180,135,190,265
53,190,160,185,140,195,270
54,190,160,185,175,195,270
55,190,160,185,170,195,270
56,190,165,190,175,200,275
57,190,165,190,210,235,275
58,195,170,195,215,240,280
59,195,170,195,250,240,280
60,200,175,200,255,245,285
61,205,180,205,260,250,290
62,210,185,210,260,255,295
63,210,190,215,265,260,300
64,210,190,215,265,260,300
65,210,190,215,260,260,300
66,210,195,220,265,265,305
67,215,200,220,265,270,310
68,215,200,220,260,270,310
69,220,205,225,265,275,315
70,220,205,225,265,275,350
71,225,210,230,270,280,355
72,225,210,230,265,315,355
