,1Greedy 0.00001,2Greedy 0.00001,3Greedy 0.00001,4Greedy 0.00001,5Greedy 0.00001,6Greedy 0.00001
0,0,0,0,0,0,0
1,35,-5,-5,35,0,35
2,70,-10,30,30,-5,70
3,70,-10,30,30,0,75
4,65,25,25,30,0,110
5,65,25,30,35,5,110
6,60,60,65,35,5,105
7,60,60,70,40,10,110
8,60,95,105,40,10,105
9,60,95,140,40,45,105
10,65,95,140,40,50,105
11,65,95,140,35,50,100
12,70,100,145,35,55,100
13,70,100,145,35,60,100
14,70,100,145,40,65,105
15,70,135,140,40,65,100
16,105,135,175,40,65,135
17,110,140,180,45,70,135
18,115,140,180,50,75,135
19,120,145,185,50,80,135
20,120,145,220,50,80,170
21,120,145,220,50,80,205
22,125,150,220,50,85,205
23,125,145,255,50,85,240
24,130,145,260,50,90,245
25,125,145,260,85,90,245
26,125,145,260,85,90,245
27,125,145,260,85,90,245
28,125,145,265,85,95,245
29,120,145,260,80,95,280
30,120,180,260,80,95,280
31,120,185,260,80,100,280
32,120,185,260,80,105,280
33,120,185,260,80,105,280
34,120,185,260,115,105,315
35,120,185,260,115,110,315
36,120,190,260,115,115,315
37,125,190,260,115,120,315
38,130,195,265,115,125,320
39,130,195,265,115,125,320
40,165,195,265,115,125,320
41,200,195,265,115,125,320
42,200,195,265,115,130,320
43,200,195,265,115,130,355
44,200,195,265,110,130,390
45,200,195,265,110,130,425
46,200,195,265,110,135,425
47,200,195,265,110,135,460
48,200,195,265,145,135,460
49,235,195,265,145,135,495
50,230,195,260,180,135,530
51,225,195,260,180,135,565
52,225,195,260,215,135,565
53,225,195,260,215,140,565
54,225,195,260,215,140,565
55,225,195,265,220,145,570
56,260,195,265,255,145,570
57,260,195,265,255,145,565
58,255,195,265,255,145,565
59,260,195,270,260,145,565
60,295,195,265,260,145,565
61,295,195,265,295,145,560
62,295,230,265,295,145,560
63,295,230,265,295,145,555
64,295,230,265,295,145,590
65,295,230,265,300,150,590
66,295,230,265,300,150,585
67,295,230,265,300,155,590
68,295,230,265,300,160,590
69,295,230,265,300,160,590
70,295,230,265,300,160,590
71,295,230,265,305,165,595
72,295,230,265,305,165,595
73,295,230,265,305,170,595
74,295,230,265,305,175,600
75,295,230,265,305,175,600
76,295,230,265,305,175,600
77,295,230,265,310,175,600
78,295,230,265,310,180,605
79,295,265,265,310,180,605
80,295,265,270,315,185,610
81,295,265,270,320,190,615
82,295,265,270,320,190,615
83,290,265,270,320,190,615
84,290,265,270,320,190,615
85,290,265,270,320,190,615
86,295,270,275,325,195,620
87,300,275,280,330,200,625
88,300,275,280,330,200,625
89,300,275,275,330,200,620
90,300,275,275,335,200,625
91,300,275,275,335,200,625
92,300,275,275,340,200,625
93,300,275,275,340,200,625
94,300,275,275,340,205,630
95,300,275,275,340,205,630
96,300,275,275,340,205,630
97,300,275,275,340,210,630
98,300,275,275,345,215,630
99,300,275,275,345,215,630
100,300,275,275,345,215,630
101,305,280,280,350,220,635
102,305,280,275,350,220,635
103,305,280,275,350,220,635
104,305,280,275,355,225,640
105,305,280,275,355,225,640
106,310,285,280,360,230,645
107,310,285,280,365,235,650
108,310,285,280,365,235,650
109,310,285,280,365,240,650
110,310,285,280,365,245,650
111,310,285,280,370,250,650
112,310,285,280,375,255,650
113,310,285,280,380,260,650
114,310,285,280,375,255,650
115,310,285,275,375,255,650
116,310,285,275,375,260,650
117,310,285,275,375,260,650
118,310,285,275,375,260,650
119,310,285,275,375,265,650
120,310,285,275,375,265,650
121,310,285,275,375,265,650
122,315,290,280,380,270,655
123,315,290,280,385,275,655
124,315,290,280,390,280,655
125,315,290,280,390,280,655
126,315,290,315,390,280,655
127,320,295,320,395,285,660
128,320,295,320,395,285,660
129,320,295,320,395,285,660
130,320,295,355,395,285,660
131,320,295,355,395,285,660
132,320,295,355,395,285,660
133,320,295,355,395,290,665
134,320,295,355,400,295,665
135,320,295,355,400,295,665
136,320,295,355,405,295,670
137,320,295,355,405,295,670
138,325,295,360,410,300,675
139,320,295,360,410,300,710
140,320,295,360,410,305,710
141,325,300,365,415,305,715
142,330,300,370,420,310,715
143,330,300,370,420,315,720
144,330,300,370,420,320,725
145,330,300,370,420,325,730
146,330,300,370,420,325,730
147,330,300,370,425,325,730
148,330,300,370,425,325,730
149,330,300,370,425,325,730
150,330,300,370,425,325,730
151,330,300,370,425,325,730
152,335,300,375,430,330,735
153,330,300,370,430,330,735
154,330,300,365,430,330,735
155,335,300,370,435,335,740
156,335,300,370,435,335,740
157,335,300,370,435,335,740
158,335,300,370,435,335,740
159,335,300,370,435,335,740
160,335,300,370,435,340,740
161,370,300,370,435,340,740
162,370,300,370,435,345,740
163,370,300,370,435,380,740
164,370,300,370,435,380,745
165,370,300,370,435,380,745
166,375,305,375,440,385,750
167,375,305,375,445,390,755
168,375,305,375,445,395,755
169,375,305,375,445,395,755
170,375,305,375,445,400,755
171,375,305,375,445,405,755
172,375,305,375,450,405,760
173,375,305,375,450,405,760
174,380,305,375,455,405,765
175,380,305,375,460,405,765
176,380,305,375,460,405,765
177,375,300,410,460,440,765
178,375,300,410,460,445,765
179,375,300,410,460,440,765
180,370,300,445,460,440,765
181,370,300,445,460,445,765
182,370,300,445,460,445,765
183,370,300,445,465,445,765
184,370,300,445,470,450,770
185,375,300,445,470,455,770
186,375,300,445,470,455,770
187,375,300,445,470,455,770
188,375,300,445,470,455,770
189,375,300,445,475,460,770
190,375,300,445,475,495,770
191,375,300,445,480,495,770
192,375,300,445,480,500,770
193,375,300,445,475,500,770
194,375,300,440,475,500,770
195,370,300,440,475,500,805
196,370,300,445,480,505,810
197,370,300,445,480,510,810
198,370,300,445,485,510,810
199,370,300,445,485,510,810
200,370,300,445,485,510,810
201,365,300,445,485,510,810
202,365,335,445,520,510,810
203,365,335,445,525,515,810
204,365,335,445,525,515,810
205,370,335,450,530,520,810
206,375,335,455,535,525,815
207,375,335,455,535,525,815
208,380,335,455,540,525,815
209,380,335,455,540,530,815
210,380,370,455,540,530,815
211,415,370,490,540,530,815
212,415,370,525,540,530,815
213,415,370,525,540,530,815
214,415,370,525,540,535,815
215,415,370,525,540,535,815
216,415,370,525,540,535,815
217,420,370,525,545,535,820
218,420,370,525,545,535,820
219,420,370,525,545,570,820
220,425,370,525,550,570,825
221,425,370,525,550,570,825
222,425,370,525,550,575,825
223,425,370,525,555,580,825
224,425,370,525,560,585,825
225,425,370,525,560,585,825
226,425,370,525,560,590,825
227,425,370,525,560,590,825
228,425,370,525,560,595,825
229,425,370,525,560,595,825
230,425,370,525,565,595,825
231,460,405,525,565,595,825
232,460,405,525,565,595,825
233,460,405,525,565,600,825
234,460,405,525,565,600,825
235,460,405,525,565,600,825
236,460,405,525,565,600,825
237,460,405,525,565,600,825
238,460,405,525,565,605,825
239,495,405,520,565,605,825
240,495,405,520,565,605,825
241,495,405,520,565,605,825
242,500,405,525,570,610,830
243,500,410,525,575,615,835
244,500,410,525,575,615,835
245,500,410,525,575,620,835
246,505,415,525,580,620,840
247,505,415,525,580,620,840
248,505,415,525,580,620,840
249,540,415,525,580,620,840
250,535,415,560,580,620,840
251,540,415,560,585,625,845
252,540,415,560,590,625,845
253,540,415,560,590,625,845
254,540,415,560,590,625,845
255,540,415,560,590,625,845
256,540,415,560,590,625,880
257,540,415,560,590,625,880
258,540,415,560,590,625,880
259,540,415,560,595,625,880
260,540,415,560,595,625,880
261,540,415,560,595,625,875
262,540,415,560,595,625,910
263,540,415,560,595,625,910
264,540,415,560,595,625,910
265,540,415,560,595,625,910
266,540,415,560,595,625,905
267,540,415,560,595,625,905
268,540,415,560,595,625,905
269,540,415,560,595,625,905
270,575,415,560,595,625,905
271,575,415,595,595,625,905
272,575,415,595,595,625,905
273,580,420,600,600,630,910
274,580,420,600,600,635,910
275,580,420,600,600,635,910
276,580,420,600,600,635,910
277,615,420,600,600,635,945
278,615,420,600,600,635,945
279,615,420,600,600,635,945
280,615,420,600,600,635,945
281,615,420,600,600,640,945
282,615,420,600,600,640,945
283,615,420,600,600,640,945
284,615,420,600,600,645,945
285,615,420,600,600,645,945
286,615,420,600,600,645,945
287,615,425,605,605,650,950
288,615,425,605,605,655,950
289,615,425,605,605,655,950
290,615,425,605,605,660,950
291,615,425,605,605,660,950
292,615,425,605,610,665,950
293,615,425,605,610,665,950
294,615,425,610,610,670,950
295,615,425,610,610,670,950
296,615,425,610,610,670,950
297,615,425,610,610,670,950
298,615,425,645,610,670,950
299,620,430,645,615,675,955
300,620,435,650,620,680,960
301,620,435,650,620,680,960
302,620,435,650,620,680,960
303,620,435,650,620,685,960
304,620,435,650,620,685,960
305,620,435,650,620,690,960
306,620,435,650,620,690,960
307,620,435,650,620,690,960
308,620,435,650,620,690,960
309,620,435,650,620,690,960
310,625,440,655,625,695,965
311,625,440,655,625,695,965
312,625,440,655,625,695,965
313,630,440,655,625,695,965
314,630,440,655,625,695,965
315,630,445,660,630,700,970
316,630,445,660,630,700,970
317,630,445,660,630,700,970
318,630,445,660,630,700,970
319,630,445,660,630,700,970
320,630,445,660,630,700,970
321,630,445,660,630,700,970
322,630,445,660,630,700,970
323,630,445,660,630,700,970
324,630,445,660,635,705,970
325,635,445,665,640,710,975
326,640,450,665,645,715,980
327,640,450,665,645,715,980
328,640,450,665,645,715,980
329,640,450,665,645,715,980
330,640,450,665,645,720,980
331,640,450,665,645,720,980
332,640,450,665,645,720,980
333,645,450,670,645,725,980
334,650,450,670,645,725,980
335,655,450,675,650,730,985
336,655,450,675,650,730,985
337,655,450,675,650,730,985
338,655,450,675,650,730,985
339,660,450,680,650,735,990
340,660,450,680,650,735,990
341,665,450,685,655,740,995
342,665,450,685,655,740,995
343,700,450,685,690,740,995
344,700,450,685,690,740,995
345,700,450,685,690,740,995
346,700,450,685,695,740,995
347,700,450,685,695,740,995
348,700,450,685,695,740,995
349,700,450,690,695,740,995
350,705,450,690,700,745,1000
351,705,485,685,700,745,1000
352,705,485,685,700,745,1000
353,705,485,685,700,745,1000
354,705,485,685,700,740,1000
355,705,485,685,700,740,1000
356,705,485,685,700,740,1000
357,705,485,685,700,740,1000
358,705,485,685,700,740,1000
359,705,485,685,700,740,1000
360,705,485,685,700,740,1000
361,705,485,685,700,740,1000
362,705,485,685,700,740,1000
363,705,485,685,700,740,1000
364,705,485,685,700,740,1005
365,705,485,685,700,740,1005
366,705,485,685,700,740,1005
367,705,485,685,700,740,1005
368,705,485,685,700,740,1005
369,705,485,685,700,740,1005
370,740,485,685,700,740,1005
371,740,485,680,700,740,1005
372,740,485,680,700,740,1005
373,740,485,680,700,740,1005
374,735,485,680,700,740,1005
375,735,485,680,700,740,1005
376,730,485,680,700,775,1005
377,725,485,680,700,775,1005
378,725,485,680,700,775,1005
379,725,485,680,700,775,1005
380,725,485,680,700,775,1005
381,725,485,680,700,775,1005
382,725,485,680,700,775,1005
383,720,485,680,700,775,1005
384,720,485,680,700,775,1005
385,720,485,680,700,775,1005
386,720,485,680,700,775,1005
387,720,485,680,700,775,1005
388,720,485,680,700,775,1005
389,720,485,680,700,775,1005
390,755,485,680,700,775,1005
391,755,485,680,700,775,1005
392,755,485,680,700,775,1005
393,755,485,680,700,775,1005
394,755,485,680,700,775,1005
395,760,485,680,705,780,1005
396,760,485,680,705,780,1005
397,760,485,680,705,780,1005
398,765,485,685,710,785,1005
399,765,485,680,710,785,1005
400,765,485,680,710,785,1005
401,765,485,680,710,785,1005
402,765,485,680,710,785,1005
403,765,485,680,710,785,1005
404,765,485,680,710,785,1005
405,765,485,680,710,785,1005
406,770,485,680,715,790,1005
407,770,485,680,715,790,1005
408,770,485,680,715,790,1005
409,770,485,680,715,790,1005
410,770,490,680,720,795,1010
411,805,490,680,720,795,1010
412,805,490,680,720,795,1010
413,805,490,680,720,795,1010
414,805,490,680,720,795,1010
415,805,525,680,720,795,1010
416,805,525,680,720,795,1010
417,805,525,715,720,795,1010
418,805,525,715,720,795,1010
419,805,525,715,720,795,1010
420,805,525,715,720,795,1010
421,805,525,715,720,795,1010
422,800,525,715,720,795,1010
423,800,525,715,720,795,1010
424,800,525,715,720,795,1010
425,805,525,720,725,800,1015
426,805,525,720,725,800,1015
427,805,525,720,725,800,1015
428,805,525,720,725,800,1015
429,805,525,720,725,800,1015
430,805,525,720,725,800,1015
431,805,525,720,725,800,1015
432,805,525,720,725,800,1015
433,805,525,720,725,800,1015
434,805,525,720,725,800,1015
435,805,525,720,725,800,1015
436,805,525,720,725,800,1015
437,800,525,720,725,800,1015
438,800,525,720,725,800,1015
439,800,525,720,725,800,1015
440,800,525,720,725,800,1015
441,800,525,720,725,800,1015
442,800,525,720,725,800,1015
