,BBB 1,BBB 2,BBB 3,BBB 4
0,0,0,0,0
1,5,0,5,5
2,5,35,0,5
3,5,35,-5,0
4,5,35,30,-5
5,5,40,30,-5
6,40,40,25,-10
7,45,45,30,-10
8,50,50,30,-10
9,55,55,35,-10
10,55,55,35,25
11,55,55,70,25
12,55,55,70,20
13,60,60,75,20
14,60,60,75,55
15,60,60,70,90
16,60,60,105,90
17,65,60,105,90
18,70,65,105,90
19,75,70,105,95
20,80,70,105,100
21,80,70,105,95
22,85,70,105,95
23,90,70,105,95
24,90,65,100,90
25,90,60,135,90
26,95,60,135,90
27,100,60,140,90
28,100,60,175,90
29,105,60,175,90
30,105,60,210,85
31,110,60,210,85
32,115,65,210,85
33,120,70,215,85
34,120,70,215,120
35,125,70,215,120
36,130,70,215,120
37,135,70,215,120
38,135,70,215,120
39,135,105,210,115
40,135,105,210,115
41,135,105,210,115
42,170,105,210,115
43,170,105,205,110
44,205,100,205,145
45,205,95,200,145
46,210,100,200,145
47,205,135,200,140
48,205,170,200,140
49,205,170,200,175
50,210,175,205,180
51,210,170,240,180
52,210,170,240,180
53,210,170,235,175
54,245,170,235,175
55,245,170,235,175
56,250,170,240,175
57,250,170,235,210
58,250,170,235,210
59,250,205,230,210
60,250,205,265,245
61,250,205,265,245
62,250,205,265,240
63,250,205,265,240
64,250,240,265,240
65,250,275,265,240
66,250,275,265,240
67,250,275,265,240
68,250,275,265,240
69,250,275,265,240
70,250,275,265,240
71,250,275,265,240
72,250,275,260,235
73,250,310,260,230
74,250,315,260,230
75,250,315,295,265
76,250,320,295,270
77,250,320,290,270
78,250,320,290,270
79,250,320,285,270
80,250,320,280,265
81,250,320,280,300
82,250,320,280,300
83,250,320,280,300
84,250,320,280,300
85,250,320,275,300
86,250,320,275,295
87,250,320,275,295
88,250,320,275,295
89,250,355,275,330
90,250,360,280,330
91,250,365,280,330
92,250,365,315,330
93,250,365,315,330
94,285,365,315,330
95,285,365,315,330
96,285,365,315,330
97,285,365,350,330
98,285,365,350,330
99,285,365,350,330
100,285,365,350,330
101,285,365,350,330
102,285,365,350,330
103,285,365,350,330
104,285,365,350,330
105,285,365,385,330
106,285,365,385,335
107,285,365,385,335
108,285,365,390,335
109,285,400,390,335
110,285,400,390,335
111,285,400,390,330
112,285,400,390,330
113,285,400,390,330
114,285,400,390,330
115,285,405,390,330
116,285,405,390,330
117,285,405,390,330
118,285,405,390,330
119,285,405,390,325
120,285,405,390,325
121,285,405,390,325
122,290,410,395,325
123,290,410,395,325
124,295,410,395,325
125,295,410,395,325
126,295,410,400,325
127,295,410,400,325
128,295,405,400,325
129,295,405,400,325
130,295,405,395,325
131,295,405,395,325
132,290,405,390,325
133,325,405,390,320
134,325,410,390,320
135,325,410,390,320
136,325,410,390,320
137,330,410,390,325
138,330,410,390,325
139,330,410,390,325
140,325,410,390,360
141,360,410,425,355
142,360,410,425,350
143,360,410,425,350
144,395,410,425,350
145,395,410,425,350
146,395,410,420,350
147,395,410,420,350
148,395,410,420,350
149,395,410,420,350
150,400,415,420,350
151,400,415,420,350
152,400,450,420,350
153,400,450,415,385
154,400,450,420,385
155,400,450,420,385
