Number,Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,isLegendary,Color,hasGender,Pr_Male,Egg_Group_1,Egg_Group_2,hasMegaEvolution,Height_m,Weight_kg,Catch_Rate,Body_Style
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False,Green,True,0.875,Monster,Grass,False,0.71,6.9,45,quadruped
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False,Green,True,0.875,Monster,Grass,False,0.99,13.0,45,quadruped
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False,Green,True,0.875,Monster,Grass,True,2.01,100.0,45,quadruped
4,Charmander,Fire,,309,39,52,43,60,50,65,1,False,Red,True,0.875,Monster,Dragon,False,0.61,8.5,45,bipedal_tailed
5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,False,Red,True,0.875,Monster,Dragon,False,1.09,19.0,45,bipedal_tailed
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False,Red,True,0.875,Monster,Dragon,True,1.70,90.5,45,bipedal_tailed
7,Squirtle,Water,,314,44,48,65,50,64,43,1,False,Blue,True,0.875,Monster,Water_1,False,0.51,9.0,45,bipedal_tailed
8,Wartortle,Water,,405,59,63,80,65,80,58,1,False,Blue,True,0.875,Monster,Water_1,False,0.99,22.5,45,bipedal_tailed
9,Blastoise,Water,,530,79,83,100,85,105,78,1,False,Blue,True,0.875,Monster,Water_1,True,1.60,85.5,45,bipedal_tailed
10,Caterpie,Bug,,195,45,30,35,20,20,45,1,False,Green,True,0.5,Bug,,False,0.30,2.9,255,insectoid
11,Metapod,Bug,,205,50,20,55,25,25,30,1,False,Green,True,0.5,Bug,,False,0.71,9.9,120,serpentine_body
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,False,White,True,0.5,Bug,,False,1.09,32.0,45,four_wings
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,False,Brown,True,0.5,Bug,,False,0.30,3.2,255,serpentine_body
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,False,Yellow,True,0.5,Bug,,False,0.61,10.0,120,serpentine_body
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False,Yellow,True,0.5,Bug,,True,0.99,29.5,45,four_wings
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,False,Brown,True,0.5,Flying,,False,0.30,1.8,255,two_wings
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,False,Brown,True,0.5,Flying,,False,1.09,30.0,120,two_wings
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,False,Brown,True,0.5,Flying,,True,1.50,39.5,45,two_wings
19,Rattata,Normal,,253,30,56,35,25,35,72,1,False,Purple,True,0.5,Field,,False,0.30,3.5,255,quadruped
20,Raticate,Normal,,413,55,81,60,50,70,97,1,False,Brown,True,0.5,Field,,False,0.71,18.5,127,quadruped
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,False,Brown,True,0.5,Flying,,False,0.30,2.0,255,two_wings
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,False,Brown,True,0.5,Flying,,False,1.19,38.0,90,two_wings
23,Ekans,Poison,,288,35,60,44,40,54,55,1,False,Purple,True,0.5,Field,Dragon,False,2.01,6.9,255,serpentine_body
24,Arbok,Poison,,438,60,85,69,65,79,80,1,False,Purple,True,0.5,Field,Dragon,False,3.51,65.0,90,serpentine_body
25,Pikachu,Electric,,320,35,55,40,50,50,90,1,False,Yellow,True,0.5,Field,Fairy,False,0.41,6.0,190,quadruped
26,Raichu,Electric,,485,60,90,55,90,80,110,1,False,Yellow,True,0.5,Field,Fairy,False,0.79,30.0,75,bipedal_tailed
27,Sandshrew,Ground,,300,50,75,85,20,30,40,1,False,Yellow,True,0.5,Field,,False,0.61,12.0,255,bipedal_tailed
28,Sandslash,Ground,,450,75,100,110,45,55,65,1,False,Yellow,True,0.5,Field,,False,0.99,29.5,90,bipedal_tailed
29,Nidoran♀,Poison,,275,55,47,52,40,40,41,1,False,Blue,True,0,Monster,Field,False,0.41,7.0,235,quadruped
30,Nidorina,Poison,,365,70,62,67,55,55,56,1,False,Blue,True,0,Undiscovered,,False,0.79,20.0,120,quadruped
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,False,Blue,True,0,Undiscovered,,False,1.30,60.0,45,bipedal_tailed
32,Nidoran♂,Poison,,273,46,57,40,40,40,50,1,False,Purple,True,1,Monster,Field,False,0.51,9.0,235,quadruped
33,Nidorino,Poison,,365,61,72,57,55,55,65,1,False,Purple,True,1,Monster,Field,False,0.89,19.5,120,quadruped
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,False,Purple,True,1,Monster,Field,False,1.40,62.0,45,bipedal_tailed
35,Clefairy,Fairy,,323,70,45,48,60,65,35,1,False,Pink,True,0.25,Fairy,,False,0.61,7.5,150,bipedal_tailed
36,Clefable,Fairy,,483,95,70,73,95,90,60,1,False,Pink,True,0.25,Fairy,,False,1.30,40.0,25,bipedal_tailed
37,Vulpix,Fire,,299,38,41,40,50,65,65,1,False,Brown,True,0.25,Field,,False,0.61,9.9,190,quadruped
38,Ninetales,Fire,,505,73,76,75,81,100,100,1,False,Yellow,True,0.25,Field,,False,1.09,19.9,75,quadruped
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False,Pink,True,0.25,Fairy,,False,0.51,5.5,170,bipedal_tailless
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,False,Pink,True,0.25,Fairy,,False,0.99,12.0,50,bipedal_tailless
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False,Purple,True,0.5,Flying,,False,0.79,7.5,255,two_wings
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,False,Purple,True,0.5,Flying,,False,1.60,55.0,90,two_wings
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False,Blue,True,0.5,Grass,,False,0.51,5.4,255,head_legs
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,False,Blue,True,0.5,Grass,,False,0.79,8.6,120,bipedal_tailless
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,False,Red,True,0.5,Grass,,False,1.19,18.6,45,bipedal_tailless
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,False,Red,True,0.5,Bug,Grass,False,0.30,5.4,190,insectoid
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,False,Red,True,0.5,Bug,Grass,False,0.99,29.5,75,insectoid
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,False,Purple,True,0.5,Bug,,False,0.99,30.0,190,bipedal_tailless
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False,Purple,True,0.5,Bug,,False,1.50,12.5,75,four_wings
50,Diglett,Ground,,265,10,55,25,35,45,95,1,False,Brown,True,0.5,Field,,False,0.20,0.8,255,head_base
51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False,Brown,True,0.5,Field,,False,0.71,33.3,50,multiple_bodies
52,Meowth,Normal,,290,40,45,35,40,40,90,1,False,Yellow,True,0.5,Field,,False,0.41,4.2,255,quadruped
53,Persian,Normal,,440,65,70,60,65,65,115,1,False,Yellow,True,0.5,Field,,False,0.99,32.0,90,quadruped
54,Psyduck,Water,,320,50,52,48,65,50,55,1,False,Yellow,True,0.5,Water_1,Field,False,0.79,19.6,190,bipedal_tailed
55,Golduck,Water,,500,80,82,78,95,80,85,1,False,Blue,True,0.5,Water_1,Field,False,1.70,76.6,75,bipedal_tailed
