epoch valid_acc test_acc train_losses
1 0,23670000000000002 0,24360000000000004 1,0852528697252273
2 0,20199999999999996 0,21129999999999993 0,7061991558223962
3 0,19020000000000004 0,19899999999999995 0,6450713762640953
4 0,18400000000000005 0,19110000000000005 0,6117533031851053
5 0,17770000000000008 0,18420000000000003 0,5856912372261286
6 0,1683 0,17600000000000005 0,5652463588863611
7 0,16820000000000002 0,1762999999999999 0,5493839219212532
8 0,1643 0,17020000000000002 0,5360940217226744
9 0,15889999999999993 0,1694 0,5226043259352445
10 0,15839999999999999 0,16559999999999997 0,5187141232192516
11 0,15339999999999998 0,1623 0,5108572041988373
12 0,1511 0,15789999999999993 0,5016996848583222
13 0,1473 0,15770000000000006 0,49464938797056673
14 0,1491 0,1613 0,4860841676592827
15 0,14570000000000005 0,15400000000000003 0,480389160066843
16 0,14500000000000002 0,1532 0,47687513001263143
17 0,1411 0,14939999999999998 0,4726505737751722
18 0,14339999999999997 0,1523 0,4686312095075846
19 0,14049999999999996 0,14939999999999998 0,4585469850152731
20 0,13779999999999992 0,14700000000000002 0,45841998659074307
21 0,1391 0,15079999999999993 0,45608072109520437
22 0,1371 0,14860000000000007 0,4485627518594265
23 0,13579999999999992 0,14700000000000002 0,44560185477137565
24 0,13490000000000002 0,1462 0,4444591461122036
25 0,1331 0,14400000000000002 0,4401928801834583
26 0,134 0,14429999999999998 0,4389591867104173
27 0,13649999999999995 0,1472 0,4353018843010068
28 0,132 0,14170000000000005 0,4356148360297084
29 0,12939999999999996 0,14200000000000002 0,4324251936748624
30 0,12860000000000005 0,14179999999999993 0,4280838131159544
31 0,13049999999999995 0,14060000000000006 0,42482310730963946
32 0,12960000000000005 0,13979999999999992 0,4222677303850651
33 0,12939999999999996 0,1412 0,4231629692018032
34 0,12949999999999995 0,14049999999999996 0,41649329628795384
35 0,13160000000000005 0,14049999999999996 0,41784933224320414
36 0,12760000000000005 0,1381 0,4127249662578106
37 0,1267999999999999 0,138 0,41492389753460884
38 0,1271 0,1382000000000001 0,4130432167649269
39 0,12450000000000006 0,136 0,40996016178280115
40 0,12439999999999996 0,13670000000000004 0,4085535666719079
41 0,12929999999999997 0,1402 0,40518045049160717
42 0,123 0,137 0,4035413679480553
43 0,12560000000000004 0,13639999999999997 0,4035860758647323
44 0,12179999999999991 0,13370000000000004 0,40165641363710164
45 0,12360000000000004 0,13660000000000005 0,3948250994831324
46 0,12470000000000003 0,13579999999999992 0,39793066184967757
47 0,12420000000000009 0,13570000000000004 0,39685506507754326
48 0,12209999999999999 0,13190000000000002 0,3956136766821146
49 0,12229999999999996 0,13270000000000004 0,3963273487612605
50 0,12290000000000001 0,13490000000000002 0,3914238204807043
51 0,12220000000000009 0,13379999999999992 0,3893154978379607
52 0,12070000000000003 0,13270000000000004 0,3889948713034391
53 0,12139999999999995 0,1321 0,38866709999740123
54 0,12060000000000004 0,12990000000000002 0,38587946876883505
55 0,1197999999999999 0,1301 0,38552741628140214
56 0,12090000000000001 0,13170000000000004 0,38173277422785756
57 0,11660000000000004 0,132 0,3828557163476944
58 0,11929999999999996 0,13190000000000002 0,3814181885495782
59 0,12109999999999999 0,13260000000000005 0,377673882804811
60 0,11720000000000008 0,13070000000000004 0,3789730920270085
61 0,1197999999999999 0,132 0,3783121509104967
62 0,11929999999999996 0,13090000000000002 0,37741762470453977
63 0,12050000000000005 0,1311 0,3759745382145047
64 0,11929999999999996 0,12970000000000004 0,37441145721822977
65 0,11570000000000003 0,12729999999999997 0,37581039424985646
66 0,11450000000000005 0,1259 0,369892499782145
67 0,1167999999999999 0,1281 0,37290992245078086
68 0,11829999999999996 0,1282000000000001 0,3683522796630859
69 0,11939999999999995 0,1321 0,36999160453677177
70 0,11839999999999995 0,1282000000000001 0,3675325522944331
71 0,11499999999999999 0,12649999999999995 0,36603536393493413
72 0,11699999999999999 0,1282000000000001 0,3664886114001274
73 0,1187999999999999 0,12849999999999995 0,36837258249521254
74 0,11850000000000005 0,13 0,36460837721824646
75 0,11809999999999998 0,1272000000000001 0,36333178009837863
76 0,1127999999999999 0,12549999999999994 0,36314339146018026
77 0,11220000000000008 0,12379999999999991 0,3629049983993173
78 0,11870000000000003 0,12939999999999996 0,36234132207930086
79 0,11520000000000008 0,128 0,36007588610053065
80 0,11529999999999996 0,12570000000000003 0,3575205373764038
81 0,1157999999999999 0,12629999999999997 0,36390805527567865
82 0,11570000000000003 0,12660000000000005 0,35763850100338457
83 0,11370000000000002 0,12549999999999994 0,3530640485137701
84 0,11220000000000008 0,12429999999999997 0,3538925392180681
85 0,11970000000000003 0,12929999999999997 0,3533888998627663
86 0,10980000000000001 0,12209999999999999 0,35228158786892894
87 0,1129 0,12409999999999999 0,3522973977774382
88 0,11109999999999998 0,12320000000000009 0,3520694134384394
89 0,11239999999999994 0,12360000000000004 0,3541515969857574
90 0,11350000000000005 0,12450000000000006 0,35285440381616356
91 0,11039999999999994 0,12250000000000005 0,3498922234028578
92 0,11829999999999996 0,127 0,35305361054837703
93 0,1117999999999999 0,12420000000000009 0,34531959623098374
