epoch 1200_dropout 1200_mlp 1200_bbb
1 0.6149 0.5831 0.5557
2 0.5907 0.5401 0.5211
3 0.577 0.5268 0.4991
4 0.5747 0.5125 0.4871
5 0.5667 0.5042 0.4791
6 0.5565 0.4968 0.4741
7 0.5575 0.4951 0.4622
8 0.5501 0.4814 0.4783
9 0.5401 0.4752 0.4626
10 0.5402 0.4733 0.4622
11 0.5373 0.4667 0.4509
12 0.5376 0.468 0.4531
13 0.5294 0.4604 0.4543
14 0.528 0.465 0.457
15 0.5268 0.4594 0.4559
16 0.5308 0.4627 0.4611
17 0.5176 0.4559 0.4555
18 0.5196 0.453 0.4535
19 0.5233 0.4475 0.4487
20 0.5202 0.4441 0.4553
21 0.517 0.4402 0.448
22 0.519 0.4491 0.4522
23 0.5155 0.4467 0.447
24 0.5167 0.4395 0.4476
25 0.5173 0.4437 0.4521
26 0.5077 0.4402 0.4561
27 0.5211 0.4406 0.4447
28 0.513 0.4412 0.45
29 0.5127 0.4438 0.4462
30 0.5089 0.4397 0.4486
31 0.5168 0.4376 0.4518
32 0.5091 0.4343 0.4475
33 0.5069 0.4401 0.4437
34 0.5064 0.431 0.4479
35 0.5086 0.4352 0.4479
36 0.5028 0.438 0.4458
37 0.5104 0.4297 0.4517
38 0.5015 0.4309 0.4473
39 0.4963 0.4387 0.4457
40 0.5031 0.4302 0.4454
41 0.5091 0.4269 0.4365
42 0.4985 0.4309 0.4533
43 0.5018 0.4308 0.449
44 0.4984 0.4298 0.442
45 0.5035 0.4269 0.4455
46 0.5106 0.4347 0.4425
47 0.5014 0.4288 0.4469
48 0.496 0.4238 0.4457
49 0.5048 0.4231 0.4508
50 0.4952 0.4335 0.4537
51 0.4991 0.4256 0.453
52 0.4979 0.4339 0.4396
53 0.4939 0.4267 0.4488
54 0.4962 0.4236 0.4477
55 0.4967 0.4347 0.4529
56 0.4961 0.439 0.4474
57 0.4937 0.4306 0.4419
58 0.4918 0.4222 0.438
59 0.496 0.4283 0.4457
60 0.4898 0.4278 0.4486
61 0.4913 0.4225 0.443
62 0.4924 0.4273 0.4484
63 0.4903 0.4307 0.4448
64 0.4976 0.4217 0.4407
65 0.4965 0.4239 0.4452
66 0.4962 0.4279 0.4462
67 0.4944 0.4289 0.4442
68 0.4932 0.4285 0.442
69 0.4929 0.4345 0.4346
70 0.4902 0.4238 0.4433
71 0.4918 0.4246 0.4382
72 0.486 0.4244 0.4423
73 0.4837 0.4269 0.4401
74 0.4905 0.4258 0.4409
75 0.4868 0.4296 0.4422
76 0.4908 0.4212 0.4418
77 0.4829 0.4288 0.441
78 0.486 0.4247 0.4325
79 0.4873 0.4305 0.4427
80 0.4825 0.4302 0.4425
81 0.4867 0.4313 0.4537
82 0.4848 0.4224 0.4495
83 0.4873 0.4242 0.4396
84 0.4796 0.4288 0.4391
85 0.4831 0.4212 0.4359
86 0.4838 0.4266 0.4423
87 0.4873 0.4341 0.4419
88 0.482 0.4251 0.438
89 0.488 0.4264 0.4343
90 0.4826 0.4255 0.4429
91 0.4868 0.4201 0.4374
92 0.4759 0.4201 0.4351
93 0.4822 0.4264 0.4347
94 0.4872 0.428 0.4308
95 0.4854 0.425 0.438
96 0.48 0.4303 0.4362
97 0.4834 0.4216 0.4387
98 0.4799 0.4288 0.4391
99 0.4764 0.4238 0.4372
100 0.4758 0.4207 0.4422
101 0.4782 0.4178 0.4363
102 0.4802 0.4205 0.4358
103 0.4782 0.4266 0.4381
104 0.4758 0.4296 0.441
105 0.4721 0.4295 0.4331
106 0.4793 0.4253 0.4385
107 0.4769 0.4254 0.4375
108 0.4748 0.4232 0.4434
109 0.471 0.4231 0.4384
110 0.4813 0.4284 0.4434
111 0.478 0.4187 0.4375
112 0.4741 0.4182 0.4398
113 0.4814 0.4241 0.4357
114 0.4781 0.4282 0.4319
115 0.4741 0.4196 0.4342
116 0.4803 0.418 0.4392
117 0.4745 0.4284 0.4415
118 0.4776 0.4218 0.4381
119 0.4719 0.4191 0.4409
120 0.4763 0.4249 0.4344
121 0.4763 0.4223 0.4416
122 0.4743 0.419 0.429
123 0.4714 0.4201 0.4387
124 0.4694 0.4238 0.4272
125 0.4692 0.417 0.4293
