epoch valid_acc test_acc train_losses
1 0,6427777777777778 0,6149 2,236631529416867
2 0,6223333333333333 0,5907 1,9170908331871033
3 0,6154444444444445 0,577 1,8303639970853658
4 0,6088888888888889 0,5747 1,7826303925342903
5 0,6028888888888889 0,5667 1,7488911391018394
6 0,5953333333333333 0,5565 1,720931359393868
7 0,5964444444444444 0,5575 1,703085439290829
8 0,5860000000000001 0,5501 1,6853351118321904
9 0,5767777777777778 0,5401 1,666716352194369
10 0,581 0,5402 1,6521941473384103
11 0,5734444444444444 0,5373 1,644574768528967
12 0,5708888888888889 0,5376000000000001 1,6257562301829904
13 0,569 0,5294 1,6145586842548347
14 0,5622222222222222 0,528 1,6021143330071501
15 0,5651111111111111 0,5267999999999999 1,5986419637760003
16 0,5606666666666666 0,5307999999999999 1,5904514557587173
17 0,5532222222222223 0,5176000000000001 1,5767394586237604
18 0,5578888888888889 0,5196000000000001 1,568822030178801
19 0,5538888888888889 0,5233 1,562395499138061
20 0,5554444444444444 0,5202 1,555490131863577
21 0,5537777777777777 0,517 1,549389951600286
22 0,5531111111111111 0,519 1,545612605389007
23 0,5511111111111111 0,5155000000000001 1,53556896362476
24 0,5535555555555556 0,5166999999999999 1,5354321766756251
25 0,5511111111111111 0,5173000000000001 1,5297621406480937
26 0,5426666666666666 0,5077 1,5199614499143497
27 0,554888888888889 0,5211 1,5115874905786115
28 0,5476666666666667 0,513 1,5149503103987185
29 0,5514444444444444 0,5126999999999999 1,506310874473549
30 0,5425555555555556 0,5088999999999999 1,5001441836357117
31 0,5506666666666666 0,5168 1,4950944916930742
32 0,5471111111111111 0,5091 1,4879731568033823
33 0,5472222222222223 0,5068999999999999 1,4904500320999923
34 0,5421111111111111 0,5064 1,486124661154376
35 0,5458888888888889 0,5085999999999999 1,4816785344106709
36 0,5385555555555556 0,5028 1,476766921445995
37 0,5471111111111111 0,5104 1,4726010314718692
38 0,5412222222222223 0,5015000000000001 1,46663773238302
39 0,5381111111111111 0,49629999999999996 1,4613518707766504
40 0,5405555555555556 0,5031000000000001 1,4601492175085102
41 0,5429999999999999 0,5091 1,4550951419476263
42 0,5392222222222223 0,49850000000000005 1,4482093945948664
43 0,5394444444444444 0,5018 1,4453639998407422
44 0,5346666666666666 0,49839999999999995 1,4417019632762065
45 0,5354444444444444 0,5035000000000001 1,4409781294668507
46 0,5417777777777777 0,5105999999999999 1,4425803701320807
47 0,5342222222222222 0,5014 1,438237400112038
48 0,5363333333333333 0,496 1,430800410801779
49 0,5365555555555556 0,5048 1,428067156297718
50 0,5357777777777778 0,4952 1,4238054852285784
51 0,536 0,4991 1,4180478953315827
52 0,53 0,4979 1,4202297497652248
53 0,5277777777777778 0,4939 1,4138279264558575
54 0,5349999999999999 0,4962 1,414158063734363
55 0,5363333333333333 0,49670000000000003 1,404662946027196
56 0,5337777777777778 0,4961 1,4082996416948512
57 0,5304444444444445 0,4937 1,4020113488157353
58 0,5306666666666666 0,4918 1,3994670371095577
59 0,5344444444444445 0,496 1,394194052604858
60 0,5274444444444444 0,4898 1,3976584676496997
61 0,530888888888889 0,49129999999999996 1,3941283590065505
62 0,528 0,49239999999999995 1,390835411891252
63 0,5274444444444444 0,49029999999999996 1,3906790464224217
64 0,532888888888889 0,49760000000000004 1,3848185731979188
