epoch valid_acc test_acc train_losses
1 0,13729999999999998 0,1493 34751,35546875
2 0,127 0,136 34731,63671875
3 0,12250000000000005 0,13470000000000004 34714,67578125
4 0,12309999999999999 0,13329999999999997 34699,15234375
5 0,11109999999999998 0,11760000000000004 34684,42578125
6 0,11620000000000008 0,12409999999999999 34670,4296875
7 0,11829999999999996 0,12929999999999997 34656,75390625
8 0,1078 0,11560000000000004 34642,34375
9 0,10329999999999995 0,11370000000000002 34628,26953125
10 0,11029999999999995 0,1119 34615,19921875
11 0,10939999999999994 0,11199999999999999 34601,875
12 0,1159 0,12220000000000009 34588,61328125
13 0,1058 0,11139999999999994 34575,640625
14 0,10529999999999995 0,11420000000000008 34561,75390625
15 0,11209999999999998 0,12009999999999998 34549,1875
16 0,10260000000000002 0,10460000000000003 34536,18359375
17 0,10860000000000003 0,11629999999999996 34523,74609375
18 0,10299999999999998 0,11270000000000002 34511,375
19 0,10670000000000002 0,11270000000000002 34497,6484375
20 0,10309999999999997 0,1058 34485,734375
21 0,11239999999999994 0,11399999999999999 34472,7890625
22 0,10709999999999997 0,10820000000000007 34460,19140625
23 0,10199999999999998 0,11170000000000002 34446,7578125
24 0,10470000000000002 0,1089 34435,35546875
25 0,10450000000000004 0,1058 34423,59765625
26 0,10170000000000001 0,10499999999999998 34409,859375
27 0,11320000000000008 0,12150000000000005 34397,6484375
28 0,11060000000000003 0,11699999999999999 34385,0703125
29 0,09729999999999994 0,10020000000000007 34372,6796875
30 0,1069 0,10799999999999998 34360,01953125
31 0,10160000000000002 0,10870000000000002 34348,30859375
32 0,10509999999999997 0,11070000000000002 34335,68359375
33 0,10509999999999997 0,11099999999999999 34324,40234375
34 0,09850000000000003 0,10820000000000007 34312,484375
35 0,10150000000000003 0,10399999999999998 34299,671875
36 0,10829999999999995 0,11150000000000004 34287,265625
37 0,10089999999999999 0,10620000000000007 34275,2265625
38 0,10499999999999998 0,10960000000000003 34263,07421875
39 0,10339999999999994 0,11170000000000002 34251,109375
40 0,0998 0,10499999999999998 34239,34375
41 0,10350000000000004 0,11060000000000003 34226,375
42 0,10029999999999994 0,10609999999999997 34214,9453125
43 0,10499999999999998 0,11320000000000008 34203,22265625
44 0,1058 0,10570000000000002 34190,41796875
45 0,09960000000000002 0,10229999999999995 34177,953125
46 0,10499999999999998 0,1078 34166,44140625
47 0,09999999999999998 0,10360000000000003 34154,76171875
48 0,10429999999999995 0,10670000000000002 34142,06640625
49 0,09670000000000001 0,10270000000000001 34129,71875
50 0,10499999999999998 0,11099999999999999 34118,12890625
51 0,11020000000000008 0,1147999999999999 34106,625
52 0,10339999999999994 0,1069 34096,078125
53 0,10880000000000001 0,10629999999999995 34082,47265625
54 0,10329999999999995 0,10870000000000002 34071,2890625
55 0,10029999999999994 0,10709999999999997 34058,66015625
56 0,10470000000000002 0,10839999999999994 34048,0
57 0,10189999999999999 0,10829999999999995 34035,14453125
58 0,1078 0,11120000000000008 34022,96875
59 0,09939999999999993 0,10499999999999998 34010,93359375
60 0,10239999999999994 0,10460000000000003 33998,9375
61 0,09929999999999994 0,10670000000000002 33988,00390625
62 0,09989999999999999 0,1058 33975,2265625
63 0,10329999999999995 0,1059 33963,55859375
64 0,10329999999999995 0,10639999999999994 33952,23828125
65 0,09650000000000003 0,10160000000000002 33939,9453125
66 0,10860000000000003 0,11320000000000008 33928,06640625
67 0,10270000000000001 0,10629999999999995 33918,09765625
68 0,10720000000000007 0,11350000000000005 33904,85546875
69 0,10199999999999998 0,10750000000000004 33893,3203125
70 0,10050000000000003 0,10409999999999997 33881,93359375
71 0,10039999999999993 0,1038 33870,16796875
72 0,1059 0,11199999999999999 33859,16796875
73 0,10089999999999999 0,10360000000000003 33847,0390625
74 0,10329999999999995 0,10260000000000002 33834,859375
75 0,09999999999999998 0,10509999999999997 33822,60546875
76 0,10229999999999995 0,1068 33811,26953125
77 0,10289999999999999 0,10820000000000007 33799,02734375
78 0,10139999999999993 0,10529999999999995 33786,74609375
79 0,11670000000000003 0,12390000000000001 33776,7265625
80 0,09939999999999993 0,10189999999999999 33764,046875
81 0,09799999999999998 0,10389999999999999 33751,6875
82 0,09960000000000002 0,10439999999999994 33739,03125
83 0,10750000000000004 0,10960000000000003 33728,27734375
84 0,10420000000000007 0,10420000000000007 33716,90625
85 0,10239999999999994 0,10660000000000003 33706,29296875
86 0,10099999999999998 0,10450000000000004 33694,63671875
87 0,10050000000000003 0,10620000000000007 33681,640625
88 0,10150000000000003 0,10420000000000007 33670,2109375
89 0,10729999999999995 0,1137999999999999 33657,9921875
90 0,10260000000000002 0,10739999999999994 33646,76171875
91 0,10109999999999997 0,10529999999999995 33635,015625
92 0,10209999999999997 0,10960000000000003 33623,09375
93 0,10599999999999998 0,10499999999999998 33610,8046875
94 0,10170000000000001 0,10880000000000001 33601,2109375
95 0,10739999999999994 0,1078 33589,171875
96 0,0947 0,10229999999999995 33576,125
97 0,10289999999999999 0,10899999999999999 33565,2109375
98 0,10399999999999998 0,10170000000000001 33552,78125
99 0,10039999999999993 0,0998 33541,77734375
100 0,10129999999999995 0,1048 33530,3125
101 0,10350000000000004 0,10160000000000002 33518,796875
102 0,10570000000000002 0,10850000000000004 33507,54296875
103 0,10170000000000001 0,10329999999999995 33494,53515625
104 0,10770000000000002 0,11260000000000003 33483,2734375
105 0,0988 0,10229999999999995 33471,93359375
106 0,10660000000000003 0,11209999999999998 33459,46875
107 0,10720000000000007 0,10880000000000001 33448,35546875
108 0,09950000000000003 0,10609999999999997 33437,20703125
109 0,10409999999999997 0,11370000000000002 33426,27734375
110 0,10539999999999994 0,10939999999999994 33414,57421875
111 0,10029999999999994 0,11009999999999998 33403,078125
112 0,09910000000000008 0,10229999999999995 33391,25
113 0,09750000000000003 0,1018 33379,40234375
114 0,10389999999999999 0,10799999999999998 33367,3984375
115 0,1018 0,10729999999999995 33355,8359375
116 0,09929999999999994 0,10639999999999994 33343,5625
117 0,09650000000000003 0,1048 33332,875
118 0,10189999999999999 0,10509999999999997 33320,40234375
119 0,1038 0,10620000000000007 33311,3203125
120 0,09889999999999999 0,10739999999999994 33299,203125
121 0,10039999999999993 0,10980000000000001 33287,8984375
122 0,1018 0,10550000000000004 33276,7109375
123 0,10189999999999999 0,11170000000000002 33264,3984375
124 0,10539999999999994 0,11199999999999999 33252,93359375
125 0,10450000000000004 0,10870000000000002 33241,44921875
126 0,09870000000000001 0,10239999999999994 33228,71875
127 0,09899999999999998 0,10470000000000002 33216,43359375
128 0,09870000000000001 0,10539999999999994 33205,60546875
129 0,10189999999999999 0,1079 33194,91796875
130 0,10629999999999995 0,10980000000000001 33183,38671875
131 0,1059 0,10660000000000003 33170,66796875
132 0,10920000000000007 0,11199999999999999 33158,75390625
133 0,10139999999999993 0,10370000000000001 33147,3515625
