epoch 1200_dropout 1200_mlp 1200_bbb
1 0.2436 0.171 0.1493
2 0.2113 0.156 0.136
3 0.199 0.1427 0.1347
4 0.1911 0.1398 0.1333
5 0.1842 0.1418 0.1176
6 0.176 0.138 0.1241
7 0.1763 0.1411 0.1293
8 0.1702 0.139 0.1156
9 0.1694 0.1305 0.1137
10 0.1656 0.131 0.1119
11 0.1623 0.1347 0.112
12 0.1579 0.1254 0.1222
13 0.1577 0.1239 0.1114
14 0.1613 0.1215 0.1142
15 0.154 0.1301 0.1201
16 0.1532 0.1224 0.1046
17 0.1494 0.1246 0.1163
18 0.1523 0.1185 0.1127
19 0.1494 0.1185 0.1127
20 0.147 0.1171 0.1058
21 0.1508 0.1195 0.114
22 0.1486 0.1208 0.1082
23 0.147 0.1174 0.1117
24 0.1462 0.1209 0.1089
25 0.144 0.1133 0.1058
26 0.1443 0.1134 0.105
27 0.1472 0.1177 0.1215
28 0.1417 0.1165 0.117
29 0.142 0.1116 0.1002
30 0.1418 0.1177 0.108
31 0.1406 0.1149 0.1087
32 0.1398 0.1317 0.1107
33 0.1412 0.1093 0.111
34 0.1405 0.1119 0.1082
35 0.1405 0.1133 0.104
36 0.1381 0.1136 0.1115
37 0.138 0.1166 0.1062
38 0.1382 0.1125 0.1096
39 0.136 0.1102 0.1117
40 0.1367 0.111 0.105
41 0.1402 0.1087 0.1106
42 0.137 0.124 0.1061
43 0.1364 0.1109 0.1132
44 0.1337 0.1125 0.1057
45 0.1366 0.1103 0.1023
46 0.1358 0.1079 0.1078
47 0.1357 0.1102 0.1036
48 0.1319 0.1106 0.1067
49 0.1327 0.1072 0.1027
50 0.1349 0.107 0.111
51 0.1338 0.1082 0.1148
52 0.1327 0.1082 0.1069
53 0.1321 0.1048 0.1063
54 0.1299 0.112 0.1087
55 0.1301 0.111 0.1071
56 0.1317 0.1069 0.1084
57 0.132 0.1056 0.1083
58 0.1319 0.1095 0.1112
59 0.1326 0.1183 0.105
60 0.1307 0.1101 0.1046
61 0.132 0.1147 0.1067
62 0.1309 0.1107 0.1058
63 0.1311 0.1101 0.1059
64 0.1297 0.1046 0.1064
65 0.1273 0.1047 0.1016
66 0.1259 0.1096 0.1132
67 0.1281 0.1069 0.1063
68 0.1282 0.1067 0.1135
69 0.1321 0.1042 0.1075
70 0.1282 0.1057 0.1041
71 0.1265 0.1035 0.1038
72 0.1282 0.1064 0.112
73 0.1285 0.1068 0.1036
74 0.13 0.1064 0.1026
75 0.1272 0.1103 0.1051
76 0.1255 0.1119 0.1068
77 0.1238 0.1102 0.1082
78 0.1294 0.107 0.1053
79 0.128 0.1061 0.1239
80 0.1257 0.1104 0.1019
81 0.1263 0.106 0.1039
82 0.1266 0.1043 0.1044
83 0.1255 0.1116 0.1096
84 0.1243 0.1071 0.1042
85 0.1293 0.1069 0.1066
86 0.1221 0.1062 0.1045
87 0.1241 0.1058 0.1062
88 0.1232 0.1076 0.1042
89 0.1236 0.1067 0.1138
90 0.1245 0.1085 0.1074
91 0.1225 0.1092 0.1053
92 0.127 0.1047 0.1096
93 0.1242 0.1066 0.105
94 0.1242 0.1078 0.1088
95 0.1224 0.1048 0.1078
96 0.1269 0.1083 0.1023
97 0.123 0.1115 0.109
98 0.1239 0.1072 0.1017
99 0.1222 0.105 0.0998
100 0.1222 0.106 0.1048
101 0.1228 0.1076 0.1016
102 0.1247 0.1092 0.1085
103 0.1261 0.1075 0.1033
104 0.1194 0.1047 0.1126
105 0.1245 0.1079 0.1023
106 0.1232 0.1068 0.1121
107 0.1205 0.1075 0.1088
108 0.1214 0.1046 0.1061
109 0.1235 0.1052 0.1137
110 0.1205 0.1049 0.1094
111 0.1214 0.1082 0.1101
112 0.1231 0.1039 0.1023
113 0.1192 0.1049 0.1018
114 0.122 0.1045 0.108
115 0.1255 0.1066 0.1073
116 0.1195 0.1045 0.1064
117 0.1207 0.1063 0.1048
118 0.1215 0.1047 0.1051
119 0.118 0.107 0.1062
120 0.1199 0.1042 0.1074
121 0.1195 0.1048 0.1098
122 0.122 0.1052 0.1055
123 0.1183 0.1033 0.1117
124 0.1188 0.1061 0.112
125 0.1206 0.1064 0.1087
126 0.1226 0.1053 0.1024
127 0.1231 0.1065 0.1047
128 0.1201 0.1057 0.1054
129 0.1206 0.105 0.1079
130 0.1194 0.1042 0.1098
131 0.1185 0.1049 0.1066
132 0.1184 0.1041 0.112
133 0.1166 0.104 0.1037
134 0.1169 0.1048 0.1067
135 0.1229 0.1039 0.104
136 0.1191 0.1052 0.1077
137 0.119 0.1031 0.1054
138 0.1187 0.1033 0.1114
139 0.1167 0.1059 0.1075
140 0.1188 0.1047 0.1146
141 0.1191 0.1059 0.0992
142 0.1187 0.1046 0.1045
143 0.1194 0.1044 0.1066
144 0.118 0.104 0.1046
145 0.1165 0.1038 0.1022
146 0.1194 0.1036 0.109
147 0.1166 0.105 0.1036
148 0.1181 0.1043 0.1101
149 0.1163 0.1043 0.1099
150 0.1163 0.1051 0.1138
151 0.1206 0.1059 0.1062
152 0.1185 0.1045 0.1065
153 0.1189 0.1036 0.1004
154 0.1182 0.1041 0.1066
