epoch 1200_dropout 1200_mlp 1200_bbb
1 0.0908 0.0718 0.0328
2 0.0731 0.0567 0.0265
3 0.065 0.0492 0.0209
4 0.059 0.0432 0.0209
5 0.0538 0.0384 0.0205
6 0.0499 0.0361 0.0182
7 0.0478 0.035 0.0181
8 0.0457 0.0328 0.018
9 0.0431 0.0312 0.018
10 0.0422 0.0294 0.0182
11 0.0406 0.0302 0.0182
12 0.0392 0.0283 0.0176
13 0.0376 0.0272 0.0178
14 0.0362 0.0267 0.0185
15 0.0353 0.0271 0.0175
16 0.0337 0.0256 0.0185
17 0.0335 0.0247 0.0181
18 0.0328 0.0243 0.0176
19 0.0322 0.0247 0.0178
20 0.032 0.0242 0.0179
21 0.0308 0.0245 0.0173
22 0.0302 0.0236 0.0184
23 0.0293 0.0225 0.0177
24 0.0283 0.0226 0.0187
25 0.0284 0.0239 0.0173
26 0.0272 0.0221 0.0179
27 0.0268 0.0228 0.0185
28 0.0267 0.022 0.0179
29 0.0264 0.0224 0.0172
30 0.0267 0.0224 0.0183
31 0.0267 0.0228 0.0175
32 0.0242 0.022 0.0171
33 0.0247 0.0215 0.0176
34 0.0244 0.022 0.0179
35 0.0243 0.022 0.0172
36 0.024 0.0223 0.0172
37 0.0231 0.0217 0.0178
38 0.0235 0.0208 0.018
39 0.0235 0.0213 0.018
40 0.0221 0.0209 0.0178
41 0.0221 0.0214 0.0177
42 0.0221 0.0219 0.0181
43 0.0219 0.0213 0.0179
44 0.0212 0.0208 0.0181
45 0.022 0.0213 0.0174
46 0.021 0.0211 0.0177
47 0.0215 0.0213 0.0173
48 0.0209 0.0204 0.0177
49 0.0205 0.0212 0.0171
50 0.0205 0.0211 0.0172
51 0.0207 0.0206 0.0184
52 0.0205 0.021 0.0189
53 0.0202 0.0216 0.0174
54 0.02 0.0207 0.0174
55 0.0201 0.0211 0.0177
56 0.0208 0.021 0.0179
57 0.0203 0.0209 0.0171
58 0.0198 0.0205 0.0176
59 0.0202 0.0209 0.0172
60 0.0197 0.0208 0.0171
61 0.0201 0.021 0.0175
62 0.0197 0.0207 0.0174
63 0.0196 0.021 0.0177
64 0.0203 0.0204 0.0173
65 0.0201 0.0206 0.0181
66 0.0197 0.0209 0.0171
67 0.0192 0.0207 0.0187
68 0.0189 0.0209 0.0178
69 0.0198 0.0204 0.0176
70 0.0193 0.0206 0.0183
71 0.0192 0.0207 0.0172
72 0.0183 0.0204 0.018
73 0.0185 0.0208 0.0183
74 0.0189 0.0205 0.0182
75 0.0187 0.0207 0.0179
76 0.0181 0.0201 0.0184
77 0.0181 0.0202 0.0184
78 0.0185 0.0204 0.0178
79 0.019 0.0206 0.0183
80 0.0184 0.0208 0.0189
81 0.0185 0.0205 0.0185
82 0.018 0.0204 0.0182
83 0.0179 0.0199 0.0182
84 0.0179 0.02 0.0181
85 0.0178 0.0196 0.0176
86 0.0184 0.0206 0.0197
87 0.0179 0.0197 0.0194
88 0.0176 0.0201 0.019
89 0.018 0.0202 0.0182
90 0.0173 0.0203 0.0186
91 0.0175 0.0202 0.0186
92 0.0175 0.0206 0.0175
93 0.0174 0.0205 0.0185
94 0.0178 0.0204 0.0183
95 0.018 0.0204 0.0182
96 0.0172 0.0201 0.0188
97 0.0175 0.0203 0.0178
98 0.0175 0.0202 0.0184
99 0.0175 0.0204 0.0185
100 0.018 0.0207 0.0188
101 0.0177 0.0201 0.0176
102 0.0172 0.0198 0.0179
103 0.0174 0.0206 0.0185
104 0.0172 0.0205 0.0185
105 0.0167 0.0201 0.018
106 0.017 0.0205 0.018
107 0.017 0.0202 0.0183
108 0.0179 0.0202 0.0186
109 0.0173 0.0204 0.0185
110 0.0164 0.0196 0.0185
111 0.0165 0.0201 0.0177
112 0.0165 0.02 0.0185
113 0.0169 0.0201 0.0175
114 0.0167 0.02 0.018
115 0.0166 0.0204 0.0181
116 0.0168 0.02 0.0183
117 0.0171 0.02 0.0175
118 0.0168 0.02 0.0185
119 0.0165 0.0202 0.0175
120 0.0166 0.0199 0.0177
121 0.0163 0.0206 0.0181
122 0.0166 0.0199 0.0185
123 0.0164 0.0199 0.0181
124 0.0163 0.0202 0.0182
125 0.0155 0.0198 0.0177
126 0.0158 0.0196 0.0182
127 0.0167 0.02 0.0176
128 0.0167 0.02 0.0187
129 0.0162 0.0201 0.0172
130 0.016 0.0195 0.0181
131 0.0167 0.0199 0.0173
132 0.0161 0.02 0.0181
133 0.0157 0.0197 0.0299
134 0.0154 0.02 0.0299
135 0.016 0.0201 0.0293
136 0.0157 0.0199 0.0212
137 0.0155 0.0194 0.0215
138 0.0156 0.02 0.0192
139 0.0159 0.0202 0.0179
140 0.0161 0.0199 0.0175
141 0.0161 0.0201 0.0174
142 0.0157 0.0199 0.0169
143 0.0164 0.0196 0.0172
144 0.0161 0.0195 0.0156
145 0.0163 0.0203 0.0162
146 0.0159 0.0198 0.017
147 0.0161 0.0195 0.0167
148 0.0161 0.0196 0.0157
149 0.0157 0.0194 0.0167
150 0.0158 0.0195 0.018
151 0.0158 0.0198 0.0178
152 0.0153 0.0195 0.0165
153 0.0161 0.0198 0.0172
154 0.0161 0.02 0.0173
155 0.0161 0.0198 0.0172
156 0.0159 0.0201 0.0171
157 0.0157 0.0199 0.0176
158 0.016 0.0197 0.0173
159 0.0159 0.0196 0.017
160 0.0159 0.0197 0.0167
161 0.0163 0.0197 0.017
162 0.0156 0.0198 0.0171
163 0.0158 0.0198 0.018
164 0.0163 0.0193 0.017
165 0.0156 0.0197 0.0182
166 0.0153 0.0194 0.0181
167 0.0163 0.0201 0.0179
168 0.0157 0.0198 0.0173
169 0.0155 0.02 0.0166
170 0.0159 0.0194 0.0173
171 0.0157 0.0194 0.0177
172 0.0154 0.0197 0.0173
173 0.0151 0.0197 0.0173
174 0.0156 0.0199 0.0171
175 0.0152 0.0195 0.0173
176 0.0153 0.0195 0.0166
177 0.0149 0.0195 0.017
178 0.0156 0.0194 0.0171
179 0.0155 0.0195 0.0171
180 0.0156 0.0197 0.0176
181 0.015 0.0196 0.0169
182 0.0152 0.0194 0.0169
183 0.0153 0.0197 0.0172
184 0.0152 0.0194 0.0179
185 0.0147 0.0198 0.0168
186 0.0149 0.0195 0.0166
187 0.0145 0.0198 0.0167
188 0.0155 0.0195 0.0167
189 0.015 0.0194 0.0171
190 0.0152 0.0194 0.0181
191 0.0149 0.0196 0.0177
192 0.0158 0.0197 0.0178
193 0.0147 0.0195 0.0172
194 0.0142 0.0192 0.0176
195 0.0147 0.0197 0.0174
196 0.0152 0.0194 0.0176
197 0.0147 0.0193 0.0182
198 0.0141 0.0194 0.0187
199 0.0141 0.0193 0.0174
200 0.0148 0.0195 0.0178
201 0.0151 0.0192 0.0175
202 0.015 0.0197 0.0166
203 0.0147 0.0197 0.0184
204 0.015 0.0195 0.0171
205 0.0149 0.0196 0.0174
206 0.0151 0.0195 0.0185
207 0.0149 0.0198 0.031
208 0.0149 0.0198 0.0224
209 0.0154 0.0198 0.0205
210 0.0152 0.0191 0.0182
211 0.0149 0.0194 0.0173
212 0.0146 0.0195 0.0158
213 0.0152 0.0194 0.0153
214 0.0152 0.0195 0.015
215 0.0153 0.0195 0.015
216 0.0154 0.0194 0.0159
217 0.0148 0.0193 0.0158
218 0.0147 0.0194 0.0155
219 0.0152 0.0193 0.0158
220 0.0142 0.0193 0.0161
221 0.0146 0.0193 0.016
222 0.0149 0.0197 0.0153
223 0.015 0.0196 0.0154
224 0.0148 0.0195 0.0153
225 0.0147 0.0195 0.0167
226 0.0149 0.0194 0.0163
227 0.0151 0.0196 0.0157
228 0.0146 0.0196 0.0158
229 0.0149 0.0192 0.0167
230 0.0147 0.0194 0.0164
231 0.0147 0.0193 0.017
232 0.015 0.0196 0.0162
233 0.0146 0.0195 0.0166
234 0.0148 0.0194 0.0164
235 0.0153 0.0194 0.0162
236 0.0151 0.0195 0.0161
237 0.0152 0.0195 0.0162
238 0.015 0.0196 0.0159
239 0.0149 0.0194 0.017
240 0.0152 0.0195 0.016
241 0.0148 0.0196 0.0163
242 0.0148 0.0193 0.0162
243 0.0153 0.0197 0.0167
244 0.0151 0.0194 0.0165
245 0.0154 0.0194 0.0162
246 0.0146 0.0193 0.0165
247 0.0148 0.0194 0.0169
248 0.0149 0.0196 0.0173
249 0.015 0.0194 0.0163
250 0.015 0.0193 0.0175
251 0.0148 0.0191 0.0166
252 0.015 0.0193 0.0172
253 0.0147 0.0195 0.0171
254 0.0147 0.0198 0.0164
255 0.0143 0.0196 0.0165
256 0.0145 0.0195 0.0161
257 0.0146 0.0194 0.0171
258 0.0148 0.0194 0.0175
259 0.0146 0.0194 0.0167
260 0.0151 0.0194 0.016
261 0.0151 0.0194 0.0167
262 0.0148 0.0194 0.0167
263 0.0146 0.0196 0.0164
264 0.0145 0.0197 0.0166
265 0.0146 0.0196 0.0149
266 0.0144 0.0196 0.0169
267 0.0144 0.0194 0.0163
268 0.0148 0.0196 0.0169
269 0.0143 0.0195 0.0162
270 0.0143 0.0195 0.0163
271 0.0149 0.0194 0.0163
272 0.0145 0.0197 0.0161
273 0.0139 0.0193 0.0165
274 0.0147 0.0193 0.0177
275 0.014 0.0193 0.0176
276 0.0142 0.0193 0.0176
277 0.0138 0.0196 0.0163
278 0.0139 0.0195 0.0165
279 0.0142 0.0196 0.0172
280 0.0145 0.0193 0.0172
281 0.0141 0.0195 0.0175
282 0.0137 0.0195 0.0175
283 0.0144 0.0197 0.018
284 0.0143 0.0194 0.018
285 0.0138 0.0196 0.0171
286 0.0148 0.0194 0.0176
287 0.0141 0.0193 0.017
288 0.0144 0.0192 0.0179
289 0.0142 0.0193 0.0162
290 0.0149 0.0196 0.0286
291 0.0139 0.0193 0.0232
292 0.0145 0.0199 0.0253
293 0.0142 0.0195 0.023
294 0.0141 0.0196 0.0179
295 0.0142 0.0195 0.0174
296 0.0146 0.0196 0.0172
297 0.0144 0.0194 0.0152
298 0.0139 0.0194 0.0157
299 0.0138 0.0194 0.0148
300 0.014 0.0197 0.0159
301 0.0135 0.0195 0.0154
302 0.0139 0.0194 0.0153
303 0.0139 0.0197 0.0152
304 0.0135 0.0194 0.0158
305 0.0136 0.0194 0.0153
306 0.0138 0.0195 0.0157
307 0.0138 0.0191 0.016
308 0.014 0.0193 0.016
309 0.0139 0.0191 0.0154
310 0.0142 0.0194 0.0158
311 0.0142 0.0197 0.0155
312 0.0141 0.0196 0.0163
313 0.0141 0.0193 0.0159
314 0.0141 0.0195 0.016
315 0.0137 0.0198 0.016
316 0.0142 0.0194 0.0161
317 0.0141 0.0192 0.0159
318 0.014 0.0194 0.0166
319 0.014 0.0196 0.016
320 0.0141 0.0193 0.0158
321 0.0143 0.0196 0.0163
322 0.0138 0.0192 0.0163
323 0.0136 0.0198 0.0161
324 0.014 0.0191 0.0164
325 0.014 0.0192 0.0171
326 0.0144 0.0193 0.0162
327 0.0143 0.0195 0.0164
328 0.0138 0.0194 0.017
