epoch,valid_acc,test_acc,train_losses
1,3.8,3.28,28557.677734375
2,3.13,2.63,28611.021484375
3,2.51,2.6,28621.341796875
4,2.4,2.29,28611.140625
5,2.19,2.02,28609.91796875
6,2.14,2.11,28595.904296875
7,2.19,1.91,28590.748046875
8,2.03,1.84,28583.240234375
9,2.03,1.82,28578.783203125
10,2.03,1.94,28562.037109375
11,1.95,1.82,28549.98046875
12,2.01,1.87,28543.021484375
13,1.98,1.79,28530.619140625
14,2.01,1.84,28516.6484375
15,1.96,1.86,28503.91015625
16,1.93,1.82,28495.685546875
17,2.01,1.9,28489.26953125
18,1.91,1.84,28477.244140625
19,1.98,1.85,28458.2734375
20,1.94,1.85,28453.84765625
21,1.92,1.85,28441.994140625
22,1.96,1.77,28433.8125
23,1.97,1.85,28421.875
24,1.93,1.88,28409.16796875
25,1.89,1.86,28398.43359375
26,2.03,1.8,28375.21484375
27,1.96,1.88,28375.28515625
28,1.9,1.95,28361.419921875
29,1.9,1.86,28351.310546875
30,1.92,1.87,28337.322265625
31,2.03,1.82,28329.548828125
32,1.98,1.79,28317.8046875
33,2.05,1.75,28302.94921875
34,2.04,1.83,28296.4140625
35,1.9,1.84,28285.96484375
36,1.97,1.93,28272.26171875
37,1.99,1.83,28257.90625
38,1.86,1.87,28249.916015625
39,1.96,1.98,28234.486328125
40,1.93,1.87,28226.6796875
41,2.0,1.85,28207.732421875
42,1.96,1.84,28199.716796875
43,2.05,1.96,28188.66015625
44,2.0,1.97,28177.60546875
45,1.97,1.9,28162.443359375
46,2.0,1.89,28153.509765625
47,1.93,1.81,28146.947265625
48,2.07,1.87,28134.3671875
49,2.08,1.74,28115.1953125
50,1.96,2.01,28108.998046875
51,1.89,1.89,28096.3828125
52,2.12,2.04,28086.9765625
53,2.02,1.73,28074.68359375
54,1.92,1.78,28064.142578125
55,1.87,1.72,28050.8671875
56,1.97,1.93,28040.302734375
57,2.02,1.83,28022.880859375
58,2.02,1.89,28016.896484375
59,1.88,1.9,28001.669921875
60,1.99,1.95,27994.109375
61,1.89,1.89,27977.37109375
62,1.97,1.77,27972.130859375
63,2.06,1.83,27956.60546875
64,2.07,1.8,27946.302734375
65,2.0,1.84,27939.595703125
66,2.08,2.12,27921.388671875
67,2.14,2.05,27910.833984375
68,2.39,2.41,27898.580078125
69,2.24,2.08,27888.66796875
70,2.05,1.92,27879.546875
71,1.91,1.92,27871.025390625
72,1.87,1.84,27852.634765625
73,1.94,1.92,27843.55859375
74,1.94,1.79,27833.32421875
75,1.94,1.95,27816.455078125
76,2.05,1.87,27804.037109375
77,1.85,1.7,27791.9453125
78,1.99,1.87,27779.49609375
79,2.04,1.77,27769.263671875
80,1.88,1.84,27759.44140625
81,1.98,1.92,27744.583984375
82,2.0,1.88,27733.138671875
83,1.99,1.91,27729.15234375
84,1.9,1.87,27718.5390625
85,2.0,1.97,27704.33984375
86,1.98,1.89,27689.390625
87,1.98,1.83,27677.287109375
88,2.0,1.8,27667.1796875
89,2.09,1.79,27654.7265625
90,1.9,1.91,27644.060546875
91,1.93,1.9,27634.0078125
92,2.07,1.76,27622.14453125
93,1.91,1.93,27608.7734375
94,1.89,1.87,27597.212890625
95,2.01,1.77,27588.130859375
96,2.0,1.77,27578.240234375
97,1.98,1.87,27563.787109375
98,1.88,1.81,27554.353515625
99,2.05,1.87,27541.62890625
100,1.94,1.96,27530.32421875
101,2.05,1.78,27514.98046875
102,2.1,1.76,27503.662109375
103,2.18,1.79,27492.001953125
104,2.02,1.96,27480.015625
105,2.06,1.85,27469.421875
106,2.13,1.8,27455.697265625
107,2.09,1.86,27447.66015625
108,2.24,1.85,27432.65625
109,2.01,1.78,27418.08203125
110,2.09,1.84,27413.2890625
111,2.01,2.08,27398.326171875
112,1.96,1.9,27387.34375
113,2.01,1.85,27373.482421875
114,1.98,1.84,27367.974609375
115,2.03,1.86,27348.873046875
116,1.91,1.91,27341.623046875
117,1.95,1.78,27327.990234375
118,1.99,1.79,27314.7109375
119,2.11,1.96,27306.037109375
120,2.1,1.83,27291.78125
121,2.27,1.68,27279.611328125
122,2.05,2.0,27273.79296875
123,2.02,1.94,27253.669921875
124,2.09,1.88,27247.400390625
125,1.93,1.78,27234.548828125
126,1.89,1.75,27222.126953125
127,1.95,1.93,27211.302734375
128,1.92,1.91,27204.8515625
129,1.99,1.87,27188.18359375
130,2.07,1.9,27180.2265625
131,2.05,1.92,27164.498046875
132,2.14,2.03,27152.05859375
133,1.97,2.09,27142.8203125
134,2.04,2.11,27130.5390625
135,1.91,1.82,27115.302734375
136,2.03,1.91,27108.701171875
137,2.05,1.9,27095.21875
138,2.15,1.98,27083.15625
139,1.94,1.9,27072.654296875
140,2.01,1.9,27061.369140625
141,2.04,1.64,27043.228515625
142,1.92,2.01,27037.9765625
143,2.19,1.81,27023.015625
144,2.0,1.9,27012.193359375
145,2.11,1.96,27001.84375
146,2.22,2.34,26991.818359375
147,2.07,2.1,26973.0625
148,1.94,1.99,26965.796875
149,2.15,2.02,26952.06640625
150,1.99,2.14,26943.6953125
151,2.32,2.15,26929.912109375
152,2.14,1.95,26918.669921875
153,2.1,2.07,26907.828125
154,2.04,2.26,26897.4296875
155,2.06,1.78,26884.6171875
156,2.05,1.87,26870.68359375
157,2.1,1.99,26859.203125
158,2.04,2.02,26846.4296875
159,1.91,1.84,26836.619140625
160,1.94,2.0,26819.14453125
161,2.12,1.95,26814.390625
162,1.89,1.87,26799.97265625
163,1.99,1.87,26785.583984375
164,1.86,1.9,26782.39453125
165,1.78,1.79,26769.103515625
166,1.9,1.82,26752.890625
167,2.02,1.73,26745.111328125
168,1.88,1.71,26733.6015625
169,1.92,1.8,26721.283203125
170,1.86,1.7,26709.279296875
171,1.96,1.85,26701.4921875
172,2.08,1.85,26683.2734375
173,2.05,1.79,26675.560546875
174,1.88,1.82,26659.19140625
175,1.92,1.83,26648.283203125
176,1.98,1.9,26636.6875
177,2.03,1.77,26626.38671875
178,2.02,1.91,26611.970703125
179,2.0,1.69,26603.744140625
180,2.05,1.79,26589.349609375
181,1.93,1.78,26577.166015625
182,2.52,2.31,26571.203125
183,2.36,2.06,26557.19140625
184,2.35,2.34,26542.1875
185,2.1,2.22,26529.630859375
186,2.18,2.02,26518.97265625
187,2.01,1.8,26506.859375
188,2.09,1.89,26492.546875
189,2.02,1.89,26478.263671875
190,2.04,1.72,26475.51953125
191,1.97,1.82,26459.8984375
192,2.08,1.94,26448.267578125
193,2.03,1.81,26433.798828125
194,1.94,1.86,26425.373046875
195,1.95,1.76,26416.294921875
196,1.98,1.78,26401.681640625
197,2.15,1.93,26389.12109375
198,1.88,1.83,26376.119140625
199,2.0,1.89,26371.08984375
200,1.91,1.77,26353.140625
201,1.94,1.91,26337.375
202,2.02,2.03,26332.560546875
203,2.07,1.94,26321.51171875
204,2.05,1.97,26303.056640625
205,2.15,1.91,26292.857421875
