epoch,valid_acc,test_acc,train_losses
1,4.93,4.26,27722.033203125
2,3.55,3.36,27748.9765625
3,3.71,3.0,27772.001953125
4,2.97,2.92,27760.927734375
5,2.81,2.49,27782.59375
6,2.46,2.33,27777.451171875
7,2.55,2.38,27775.79296875
8,2.44,2.28,27781.865234375
9,2.26,2.09,27783.806640625
10,2.23,2.34,27774.8359375
11,2.41,2.22,27778.87109375
12,2.17,2.18,27779.53515625
13,2.28,2.16,27778.583984375
14,2.31,2.24,27762.2578125
15,2.12,2.05,27764.486328125
16,2.12,2.07,27758.421875
17,2.21,2.09,27770.177734375
18,2.07,2.02,27755.271484375
19,2.09,2.11,27745.080078125
20,2.15,2.0,27747.21484375
21,2.22,2.09,27742.544921875
22,2.0,2.11,27740.21875
23,2.06,1.99,27743.27734375
24,1.92,2.0,27726.755859375
25,2.07,2.11,27719.01171875
26,2.02,1.93,27708.916015625
27,2.1,2.0,27717.275390625
28,2.02,2.0,27709.767578125
29,2.0,2.13,27702.416015625
30,2.02,2.02,27695.20703125
31,2.19,1.97,27694.7109375
32,2.07,1.94,27685.240234375
33,2.13,1.98,27679.314453125
34,2.12,2.05,27682.685546875
35,2.02,1.95,27678.259765625
36,1.96,2.19,27665.759765625
37,2.11,2.15,27658.73046875
38,1.9,2.01,27653.419921875
39,1.98,2.1,27643.603515625
40,2.1,2.09,27644.765625
41,2.08,2.13,27635.740234375
42,2.02,1.89,27627.982421875
43,2.02,1.99,27627.478515625
44,2.13,2.25,27619.20703125
45,2.13,2.11,27608.810546875
46,2.18,2.0,27606.408203125
47,2.22,1.87,27605.828125
48,2.07,1.82,27599.365234375
49,2.11,2.18,27586.927734375
50,2.0,2.04,27581.462890625
51,2.04,2.01,27576.23828125
52,1.96,2.02,27571.783203125
53,1.97,1.93,27573.861328125
54,2.04,1.91,27559.201171875
55,2.08,2.02,27554.462890625
56,2.11,2.08,27547.7109375
57,2.05,1.94,27530.65625
58,2.03,1.98,27535.41015625
59,2.06,2.05,27522.4921875
60,2.08,2.08,27521.173828125
61,1.98,2.07,27506.77734375
62,2.12,2.06,27514.021484375
63,2.07,1.92,27500.509765625
64,2.13,2.07,27498.369140625
65,2.0,1.9,27492.033203125
66,2.1,2.04,27486.244140625
67,2.04,1.96,27477.595703125
68,2.07,2.04,27468.1953125
69,2.01,2.09,27474.11328125
