HIDDEN_UNITS TRAIN_EPOCHS SAMPLES PI SIGMA_1 SIGMA_2 LR GOOGLE_INIT
400 600 1 0.25 1.0 8.0 0.001 True
epoch validErr testErr loss
1 5.43 4.93 5866.38232421875
2 4.17 3.71 5869.00927734375
3 3.54 3.15 5865.36376953125
4 3.39 3.22 5872.32958984375
5 2.86 2.82 5858.18115234375
6 2.57 2.28 5861.10791015625
7 2.52 2.42 5854.359375
8 2.47 2.28 5853.27294921875
9 2.38 2.11 5855.22216796875
10 2.45 2.19 5853.30517578125
11 2.49 2.31 5850.5830078125
12 2.27 2.06 5845.33642578125
13 2.41 2.01 5843.271484375
14 2.34 2.01 5844.66796875
15 2.33 2.14 5845.1083984375
16 2.18 1.97 5841.91162109375
17 2.14 2.01 5841.93017578125
18 2.49 2.09 5838.57373046875
19 2.46 2.46 5839.0615234375
20 2.18 1.91 5836.18115234375
21 2.23 1.9 5834.234375
22 2.18 2.04 5837.33544921875
23 2.22 1.97 5834.611328125
24 2.16 2.02 5830.70458984375
25 2.01 1.9 5826.7255859375
26 2.06 2.02 5826.60400390625
27 2.02 1.85 5826.45654296875
28 2.0 1.9 5828.04443359375
29 2.11 1.89 5824.4697265625
30 2.19 1.88 5823.81982421875
31 2.25 1.86 5819.6328125
32 2.15 1.83 5821.14453125
33 2.23 1.82 5818.376953125
34 2.23 1.93 5816.63427734375
35 2.12 1.85 5815.33154296875
36 2.17 1.84 5816.6875
37 2.26 1.89 5816.263671875
38 2.1 1.97 5813.134765625
39 2.13 1.92 5811.7958984375
40 2.05 1.89 5809.6630859375
41 2.08 1.94 5809.50390625
42 2.14 1.91 5808.361328125
43 2.07 1.82 5806.0185546875
44 2.05 1.89 5806.6025390625
45 2.03 1.97 5805.884765625
46 2.06 1.87 5802.1357421875
47 2.2 1.89 5801.6728515625
48 2.12 1.9 5799.63232421875
49 2.09 2.05 5800.6474609375
50 2.13 1.88 5800.98974609375
51 2.08 1.94 5797.70947265625
52 2.18 1.87 5797.08251953125
53 2.12 2.05 5793.31982421875
54 2.11 1.91 5792.28955078125
55 2.07 2.07 5792.01171875
56 2.23 1.89 5789.7841796875
57 2.04 1.98 5788.30029296875
58 2.11 1.85 5789.01171875
59 2.03 2.02 5789.21484375
60 2.02 1.92 5787.375
61 2.11 1.84 5782.7783203125
62 2.05 2.01 5784.03369140625
63 2.02 2.0 5786.80078125
64 2.03 1.84 5782.1083984375
65 1.98 2.1 5780.6083984375
66 2.04 1.91 5777.9052734375
67 2.0 2.01 5778.5224609375
68 1.93 1.8 5777.580078125
69 2.05 1.92 5775.58203125
70 2.15 2.09 5774.23681640625
71 2.06 1.9 5772.39794921875
72 2.06 2.01 5774.166015625
73 2.06 1.99 5771.8681640625
74 2.04 2.0 5768.99072265625
75 2.1 2.03 5768.06103515625
76 2.06 1.89 5766.66357421875
77 1.91 2.13 5764.66015625
78 1.93 1.9 5764.05322265625
79 1.99 1.93 5765.1171875
80 2.03 1.85 5759.8193359375
81 1.97 2.02 5762.30517578125
82 2.0 1.86 5761.40283203125
83 2.03 1.99 5760.615234375
84 2.14 1.89 5757.68408203125
85 2.14 2.0 5757.80712890625
86 2.09 1.84 5754.07958984375
87 2.07 2.0 5753.09375
88 1.94 1.92 5752.1884765625
89 2.03 1.88 5751.5126953125
90 2.14 1.8 5750.95703125
91 2.12 1.91 5749.2421875
92 2.13 1.9 5748.8720703125
93 2.11 1.84 5749.18408203125
94 2.05 1.81 5744.1357421875
95 2.11 2.1 5745.50390625
96 2.12 2.09 5742.10205078125
97 2.02 2.09 5741.068359375
98 1.97 2.05 5740.2509765625
99 2.04 2.04 5739.44189453125
100 1.97 2.1 5740.30322265625
101 2.05 1.94 5736.3447265625
102 2.14 2.05 5736.66650390625
103 1.98 2.04 5734.7578125
104 2.18 2.02 5734.5576171875
105 2.07 2.02 5734.14453125
106 2.12 2.01 5730.7001953125
107 2.08 1.99 5730.07177734375
108 2.07 1.89 5730.6279296875
109 2.16 2.05 5728.48583984375
110 2.24 2.14 5726.56298828125
111 2.26 2.09 5726.69873046875
112 2.38 2.19 5725.5791015625
113 2.27 1.97 5722.4912109375
114 2.17 2.1 5724.7421875
115 2.15 1.95 5721.61669921875
116 2.27 2.07 5720.12158203125
117 2.19 1.82 5721.08203125
118 2.16 1.95 5715.86767578125
119 2.19 1.89 5717.810546875
120 2.14 1.78 5716.7109375
121 2.21 1.97 5713.962890625
122 2.08 1.94 5712.81982421875
123 2.2 1.85 5714.4853515625
124 2.21 1.96 5711.27099609375
125 2.23 2.14 5708.31298828125
126 2.13 1.98 5708.1181640625
127 2.18 1.87 5708.8916015625
128 2.09 1.98 5704.0615234375
129 2.17 1.93 5707.77734375
130 2.24 2.16 5704.71875
131 2.13 1.86 5701.14501953125
132 2.19 1.84 5702.43798828125
133 2.28 1.93 5699.68017578125
134 2.29 1.96 5700.0234375
135 2.09 1.96 5698.45263671875
136 2.12 2.02 5694.30517578125
