epoch,valid_acc,test_acc,train_losses
1,5.34,4.83,9732.7236328125
2,4.22,3.73,9555.26171875
3,3.56,2.96,9448.2646484375
4,3.72,3.11,9378.3134765625
5,2.79,2.79,9313.4921875
6,2.68,2.71,9267.8271484375
7,2.8,2.68,9222.3134765625
8,2.79,2.31,9177.701171875
9,2.84,2.5,9145.84375
10,2.59,2.16,9102.6982421875
11,2.44,2.28,9077.306640625
12,2.43,2.2,9049.115234375
13,2.36,2.0,9014.5576171875
14,2.36,2.02,8991.4921875
15,2.2,2.01,8960.4384765625
16,2.16,2.01,8938.576171875
17,2.59,2.02,8917.505859375
18,2.07,2.09,8889.5126953125
19,2.19,2.07,8866.634765625
20,2.22,2.03,8845.353515625
21,2.24,1.99,8823.6181640625
22,2.09,1.92,8802.7275390625
23,2.22,1.97,8776.4306640625
24,2.18,1.93,8757.2177734375
25,2.21,1.94,8738.1552734375
26,2.14,1.99,8715.3046875
27,2.2,2.16,8689.591796875
28,2.08,1.91,8674.6552734375
29,2.15,1.92,8645.2978515625
30,2.14,2.07,8635.634765625
31,2.06,2.15,8608.359375
32,2.11,1.92,8589.2197265625
33,2.24,1.86,8573.2705078125
34,2.13,1.89,8546.28515625
35,2.18,1.94,8530.318359375
36,2.26,1.83,8508.5791015625
37,2.12,1.91,8486.275390625
38,2.04,1.91,8470.8623046875
39,2.11,1.86,8448.802734375
40,2.1,1.91,8424.552734375
41,2.15,1.96,8403.923828125
42,2.1,1.93,8383.02734375
43,2.12,1.79,8358.67578125
44,2.15,1.8,8340.8603515625
45,2.07,1.77,8315.603515625
46,2.07,2.01,8298.0751953125
47,2.0,1.96,8278.8994140625
48,2.0,1.81,8262.4990234375
49,2.07,1.99,8232.2880859375
50,2.07,1.87,8213.45703125
51,2.14,2.04,8195.48046875
52,2.06,1.9,8175.82666015625
53,2.18,2.03,8151.47607421875
54,2.08,1.9,8138.43603515625
55,2.06,1.89,8115.6455078125
56,2.04,2.02,8091.427734375
57,2.14,2.08,8072.505859375
58,2.11,1.94,8047.52685546875
59,2.0,1.83,8024.06689453125
60,2.11,2.02,8009.11328125
61,2.15,2.02,7983.37060546875
62,2.18,2.02,7960.75927734375
63,2.22,1.79,7939.943359375
64,2.07,1.89,7915.71240234375
65,2.09,1.8,7896.7177734375
