,1% Greedy,5 %Greedy,Bayes By BackProp,Greedy
0,0,0,0,0
1,0,-5,0,-5
2,0,0,0,-5
3,5,5,0,-5
4,5,10,0,0
5,5,10,0,0
6,10,15,5,5
7,10,15,0,5
8,15,20,5,10
9,20,25,10,15
10,20,25,10,15
11,25,30,10,20
12,30,35,15,25
13,30,35,10,25
14,30,35,45,25
15,30,35,45,25
16,30,35,45,25
17,35,40,50,30
18,35,40,85,30
19,40,45,90,35
20,45,50,95,40
21,50,55,100,45
22,55,60,105,50
23,55,60,105,50
24,55,60,100,50
25,55,60,95,50
26,55,60,130,50
27,60,65,130,55
28,60,65,165,55
29,60,65,165,55
30,60,65,165,55
31,65,70,165,60
32,65,70,165,60
33,70,75,165,65
34,70,75,165,65
35,75,80,165,70
36,75,80,165,70
37,75,80,165,70
38,80,85,165,75
39,80,85,165,75
40,85,90,165,80
41,85,90,160,80
42,90,95,165,85
43,90,100,165,90
44,90,100,160,90
45,90,100,160,90
46,90,100,195,90
47,90,100,195,90
48,95,105,195,95
49,100,110,195,100
50,105,115,200,105
51,105,115,235,105
52,105,115,235,105
53,110,120,240,110
54,115,125,240,115
55,120,130,245,120
56,120,130,280,120
57,125,135,280,125
58,130,140,280,130
59,130,140,275,130
60,135,145,280,135
61,135,145,280,135
62,140,150,285,140
63,145,155,285,145
64,150,160,285,150
65,150,160,320,150
66,155,165,325,155
67,155,165,325,155
68,160,170,330,160
69,165,175,330,165
70,170,180,335,170
71,175,180,335,175
72,180,185,340,180
73,180,185,340,180
74,180,185,340,180
75,180,185,340,180
76,180,185,340,180
77,185,190,340,185
78,190,195,345,190
79,195,200,350,195
80,200,205,350,200
81,205,210,355,205
82,205,210,355,205
83,210,215,355,210
84,210,215,355,210
85,215,220,355,215
86,215,220,355,215
87,220,225,355,220
88,225,230,355,225
89,225,230,350,225
90,225,230,385,225
91,225,230,380,225
92,225,230,375,225
93,230,235,380,230
94,230,235,380,230
95,230,235,375,230
96,230,235,375,230
97,230,240,380,235
98,230,240,380,235
99,235,245,385,240
100,235,245,385,240
101,235,245,380,240
102,240,250,385,245
103,245,255,385,250
104,245,255,385,250
105,250,260,390,255
106,255,265,395,260
107,255,265,395,260
108,260,270,395,265
109,260,270,395,265
110,260,270,430,265
111,265,275,430,270
112,270,280,430,275
113,270,280,430,275
114,275,285,430,280
115,280,290,430,285
116,285,295,435,290
117,290,300,440,295
118,295,305,440,300
119,295,305,475,300
120,300,310,480,305
121,300,310,515,305
122,305,315,515,310
123,305,315,510,310
124,305,315,510,310
125,310,320,515,315
126,310,320,515,315
127,310,320,550,315
128,310,320,550,315
129,310,320,550,315
130,315,325,555,320
131,315,325,555,320
132,320,330,560,325
133,320,330,560,325
134,325,335,560,330
135,330,340,565,335
136,335,345,565,340
137,340,345,565,345
138,340,345,565,345
139,340,345,600,345
140,345,350,605,350
141,345,345,605,350
142,345,345,600,350
143,345,345,635,350
144,350,350,635,355
145,350,350,635,355
146,355,355,640,360
147,355,355,640,360
148,360,360,645,365
149,360,360,640,365
150,360,360,635,365
151,360,360,635,365
152,365,365,640,370
153,370,370,645,375
154,375,375,650,380
155,380,380,650,385
156,380,380,645,385
157,385,385,650,390
158,390,390,650,395
159,395,395,650,400
160,400,400,650,405
161,405,405,650,410
162,405,405,650,410
163,405,405,650,410
164,405,405,650,410
165,405,405,650,410
